SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,5,3,5,1,0.7,sqrt,95.82385092071337,94.83654519087163,94.05842953712626,92.72761416792191
1,5,3,5,1,0.7,log2,95.9472175967161,94.7225488993586,94.18251214838591,92.53240339483943
2,5,3,5,1,0.9,sqrt,96.11807663800704,94.68474253432515,94.42691578579388,92.43636377030488
3,5,3,5,1,0.9,log2,95.70991337270091,95.17838976630762,93.79834260700568,93.00595827997456
4,5,3,5,3,0.7,sqrt,95.73841689714145,94.53250698046911,93.85016352885359,92.16458345549219
5,5,3,5,3,0.7,log2,95.4251753214414,94.22933456468569,93.48244157834488,91.81373254588925
6,5,3,5,3,0.9,sqrt,96.22247698779438,95.25421894502925,94.57429205667681,93.22445824671661
7,5,3,5,3,0.9,log2,95.78583271267996,94.72269319846177,93.96498048105236,92.48590607988616
8,5,3,6,1,0.7,sqrt,96.40277866585492,94.91215792093853,94.81791088161462,92.71995531645703
9,5,3,6,1,0.7,log2,96.64010540450238,95.21554678537673,95.13505565826934,93.14112413799258
10,5,3,6,1,0.9,sqrt,96.89635794302717,95.93769164724641,95.51637350285273,94.16524919690345
11,5,3,6,1,0.9,log2,96.64958406468365,95.63350913774069,95.183671939523,93.77533450521959
12,5,3,6,3,0.7,sqrt,96.11801809996317,94.98834784741813,94.36053424640815,92.69064879374606
13,5,3,6,3,0.7,log2,96.24143430815687,95.4818507802974,94.58144129534799,93.48958003768661
14,5,3,6,3,0.9,sqrt,96.73500007654977,95.44382796660919,95.29165254256057,93.45071712965411
15,5,3,6,3,0.9,log2,96.61158386835605,94.98827569786654,95.09348597097565,92.77101701711985
16,5,3,7,1,0.7,sqrt,97.0482326463969,94.79808947987388,95.71627524956223,92.58392921772234
17,5,3,7,1,0.7,log2,97.34248087832282,95.82340675752701,96.12988661563418,93.97061228658
18,5,3,7,1,0.9,sqrt,97.56075123222581,95.93754734814321,96.44934277793622,94.14247191374011
19,5,3,7,1,0.9,log2,97.19055664276213,95.93783594634961,95.9225206305036,94.12755361050665
20,5,3,7,3,0.7,sqrt,96.72551691344205,95.40616590067893,95.24680395842502,93.34374638882228
21,5,3,7,3,0.7,log2,96.82990825737645,95.10227198937959,95.38525298289507,92.90885994282719
22,5,3,7,3,0.9,sqrt,96.83943194682226,95.63379773594708,95.42173099152315,93.73404379642658
23,5,3,7,3,0.9,log2,96.97225476837396,95.63415848370504,95.5984715331364,93.70842979067004
24,5,3,8,1,0.7,sqrt,97.61769073721011,96.50716805795051,96.51998038846308,94.93405057078071
25,5,3,8,1,0.7,log2,97.52277805345693,95.5581128563286,96.37609268106338,93.59708891458496
26,5,3,8,1,0.9,sqrt,97.56075573515227,95.93761949769481,96.44800151384017,94.1818339683213
27,5,3,8,1,0.9,log2,97.6556368984203,96.01352082596806,96.57473771605082,94.2656146320903
28,5,3,8,3,0.7,sqrt,97.019715613177,95.59570277270726,95.65206617620966,93.60194517153934
29,5,3,8,3,0.7,log2,97.01026847348093,95.48134573343627,95.63809907762992,93.46974097959801
30,5,3,8,3,0.9,sqrt,97.28550534992692,95.78538394383878,96.0357510284438,93.8298700159484
31,5,3,8,3,0.9,log2,97.0766461123084,95.33004812375093,95.7443739973611,93.25577584269652
32,5,3,9,1,0.7,sqrt,97.85496344074014,95.9751372645219,96.86520070515344,94.16431049278864
33,5,3,9,1,0.7,log2,97.83597459989247,96.12730066882634,96.8237538010347,94.3269004457842
34,5,3,9,1,0.9,sqrt,98.13969698907317,96.58292508712059,97.27665983450878,95.03103466364553
35,5,3,9,1,0.9,log2,97.95937279638036,96.01388157372602,97.01638991053636,94.2571318977724
36,5,3,9,3,0.7,sqrt,97.24754117701094,95.21597968268628,95.97648734913685,93.0267927797572
37,5,3,9,3,0.7,log2,96.90584560906133,95.10227198937959,95.49846857717993,92.97763621014953
38,5,3,9,3,0.9,sqrt,97.45633737365914,95.78567254204515,96.2823930942989,93.90853100532036
39,5,3,9,3,0.9,log2,97.02921678799052,95.59570277270726,95.67539981129812,93.66472248391972
40,5,3,10,1,0.7,sqrt,97.76007777454566,95.74757757880533,96.72385875459895,93.87431103010015
41,5,3,10,1,0.7,log2,97.75058110265861,95.36749374102641,96.69654856456677,93.24261164614688
42,5,3,10,1,0.9,sqrt,98.18718485143496,96.5827807880174,97.3379811458415,95.01635901599926
43,5,3,10,1,0.9,log2,98.04478430532002,95.82376750528496,97.13252790304368,93.96735396599694
44,5,3,10,3,0.7,sqrt,97.01972912195636,95.82362320618178,95.65806633149471,93.97564308967958
45,5,3,10,3,0.7,log2,97.14310030088555,95.78581684114835,95.8154871186754,93.87242063084396
46,5,3,10,3,0.9,sqrt,97.5702749216716,96.05111074234672,96.4331910584937,94.21245724430281
47,5,3,10,3,0.9,log2,97.24752766823158,95.32990382464772,95.96908772720501,93.218154047323
48,5,3,11,1,0.7,sqrt,98.28207952348231,95.82391180438815,97.47516641320794,93.91198601220101
49,5,3,11,1,0.7,log2,98.04477980239359,95.8234789070786,97.12551962323917,93.86198551593706
50,5,3,11,1,0.9,sqrt,98.24410634471342,96.24136910989097,97.41357569117207,94.52866616301519
51,5,3,11,1,0.9,log2,98.42445755496497,95.86142957121521,97.67923577467862,93.98006419256859
52,5,3,11,3,0.7,sqrt,97.1336216407043,95.33019242285408,95.8131568018481,93.20752347762723
53,5,3,11,3,0.7,log2,97.31392782169132,95.89952453445501,96.0744999509317,94.06039901851659
54,5,3,11,3,0.9,sqrt,97.63667957805777,95.558040706777,96.53920004979852,93.559047142626
55,5,3,11,3,0.9,log2,97.57973557014704,95.89916378669706,96.44543382207837,94.00139838804614
56,5,3,12,1,0.7,sqrt,98.25356249026242,95.93769164724641,97.42173385964706,94.02898571129693
57,5,3,12,1,0.7,log2,98.20612416009166,96.01337652686489,97.35641705846142,94.1702404363621
58,5,3,12,1,0.9,sqrt,98.59528507577073,96.24122481078781,97.92263505912796,94.48911782149713
59,5,3,12,1,0.9,log2,98.45295657647905,96.0512550414499,97.71423051071388,94.2393499937155
60,5,3,12,3,0.7,sqrt,97.24751415945224,95.44418871436716,95.9805659267893,93.3710153126379
61,5,3,12,3,0.7,log2,97.019715613177,94.68409318836082,95.630118728691,92.27266952248065
62,5,3,12,3,0.9,sqrt,97.68413591993436,96.0893500046897,96.59632418054083,94.27877096777047
63,5,3,12,3,0.9,log2,97.3139863597352,95.63379773594708,96.04730080968767,93.59962702235491
64,5,3,13,1,0.7,sqrt,98.26312670604625,95.17831761675602,97.4286572743272,92.9595747922798
65,5,3,13,1,0.7,log2,98.13969248614673,95.70991551287509,97.253692173699,93.69822927569614
66,5,3,13,1,0.9,sqrt,98.53831855322774,96.01388157372602,97.84101056579534,94.13509335221498
67,5,3,13,1,0.9,log2,98.54785575145286,96.24115266123621,97.85471010136256,94.48711959312824
68,5,3,13,3,0.7,sqrt,97.25701083133929,95.67153195142892,95.98095531728899,93.67175887810113
69,5,3,13,3,0.7,log2,97.14313182137072,95.36792663833594,95.82391780091632,93.31352596601121
70,5,3,13,3,0.9,sqrt,97.62720091787654,95.89901948759389,96.51463227346795,94.02583326790001
71,5,3,13,3,0.9,log2,97.61769073721013,95.86114097300884,96.50794376515563,93.96555711926133
72,5,3,14,1,0.7,sqrt,98.42444854911207,96.0894943037929,97.67320111352366,94.2868204244702
73,5,3,14,1,0.7,log2,98.25360751952694,95.78632188800947,97.42345298748374,93.81814522534226
74,5,3,14,1,0.9,sqrt,98.75663393639527,95.67160410098052,98.15296559528772,93.62278923604471
75,5,3,14,1,0.9,log2,98.77561377139003,95.97557016183146,98.18230926432233,94.09495161718115
76,5,3,14,3,0.7,sqrt,97.36138866649435,95.44397226571236,96.13911906291683,93.39718820976543
77,5,3,14,3,0.7,log2,97.24751866237868,95.29231390826907,95.97156873109604,93.12826194987437
78,5,3,14,3,0.9,sqrt,97.81699926782416,95.55724706170953,96.79578981853568,93.48079478272473
79,5,3,14,3,0.9,log2,97.52277805345693,95.48206722895219,96.37160920114731,93.40018166118341
80,5,5,5,1,0.7,sqrt,95.97569860652439,94.83640089176846,94.24408667057997,92.68525094503892
81,5,5,5,1,0.7,log2,95.67195370271139,94.22926241513409,93.81020446579429,91.8534709050947
82,5,5,5,1,0.9,sqrt,96.01363125895519,94.72269319846177,94.29449972462518,92.47860415897226
83,5,5,5,1,0.9,log2,96.0515909289447,95.10219983982799,94.32458614477477,92.99799979223215
84,5,5,5,3,0.7,sqrt,95.58651517621301,94.3048029956494,93.72123031963952,91.90164721755961
85,5,5,5,3,0.7,log2,95.43469901088717,94.1530003391029,93.45816730734626,91.73528657008971
86,5,5,5,3,0.9,sqrt,96.17500713713841,94.83632874221686,94.50200573577568,92.73962867249841
87,5,5,5,3,0.9,log2,95.89024657124666,94.95068578148788,94.11658085352805,92.82291531704459
88,5,5,6,1,0.7,sqrt,96.7255214163685,94.98813139876334,95.24568770747483,92.7819418006424
89,5,5,6,1,0.7,log2,96.67806507449193,95.4818507802974,95.21607330683256,93.57740062498372
90,5,5,6,1,0.9,sqrt,96.71602474448144,95.78588899069993,95.27372108179691,93.97613104792661
91,5,5,6,1,0.9,log2,96.65907623364424,95.32990382464772,95.17118863862841,93.27677545450429
92,5,5,6,3,0.7,sqrt,96.3933180173795,94.98820354831494,94.77252203521233,92.79457583575581
93,5,5,6,3,0.7,log2,96.12749676014441,95.02608206289997,94.42577505035163,92.80897270160615
94,5,5,6,3,0.9,sqrt,96.49769134960812,95.21619613134105,94.9523763059048,93.11326910205212
95,5,5,6,3,0.9,log2,96.58314788781229,95.29188101095953,95.05115754389098,93.22306641294546
96,5,5,7,1,0.7,sqrt,97.00074478403515,96.01359297551966,95.64669350015946,94.2496788916638
97,5,5,7,1,0.7,log2,97.22854333031037,95.36785448878436,95.97498341319299,93.2865722905318
98,5,5,7,1,0.9,sqrt,97.4753172086539,96.01337652686489,96.3295321159537,94.24898121914082
99,5,5,7,1,0.9,log2,97.34244935783765,95.14036695261939,96.13381409355078,93.00056731742913
100,5,5,7,3,0.7,sqrt,96.95328393923211,94.91208577138694,95.57350924586136,92.66376968954106
101,5,5,7,3,0.7,log2,96.2983332868031,94.68495898297992,94.65816158168337,92.38978366893494
102,5,5,7,3,0.9,sqrt,96.95330645386436,95.747288980599,95.57451998811486,93.83937991139636
103,5,5,7,3,0.9,log2,96.66855039089904,95.67174840008367,95.19597368709954,93.81788246013004
104,5,5,8,1,0.7,sqrt,97.24748263896707,95.55825715543179,95.98438606851916,93.56593650627293
105,5,5,8,1,0.7,log2,97.33297970350931,95.29180886140793,96.11212178851491,93.19296039482181
106,5,5,8,1,0.9,sqrt,97.59867487880372,95.70941046601395,96.4951396560246,93.78829933471495
107,5,5,8,1,0.9,log2,97.64615373531258,96.01359297551966,96.56203043244767,94.23320028444486
108,5,5,8,3,0.7,sqrt,96.8678769332189,95.44418871436716,95.4302055571481,93.38171695263581
109,5,5,8,3,0.7,log2,96.8488610748125,95.78545609339038,95.41945411335601,93.93119457351948
110,5,5,8,3,0.9,sqrt,97.03872246573046,95.48242797671011,95.7020954844358,93.48577302477617
111,5,5,8,3,0.9,log2,96.84888809237123,95.6717484000837,95.43249372342967,93.77047965044379
112,5,5,9,1,0.7,sqrt,97.39936184526326,95.8235510566302,96.19991540728442,93.92045517962144
113,5,5,9,1,0.7,log2,97.57970404966187,96.20349059530595,96.45995667609083,94.47824971434027
114,5,5,9,1,0.9,sqrt,97.95936829345392,96.2793919235792,97.01656590867628,94.62069256463325
115,5,5,9,1,0.9,log2,97.84547577470599,96.20341844575435,96.83883917039795,94.46129786511402
116,5,5,9,3,0.7,sqrt,97.09567998242058,95.02637066110633,95.77165863158598,92.88224341099041
