SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,5,2,5,1,0.7,sqrt,94.53034855705333,93.17306872623735,94.71489031789282,93.46569221174718
1,5,2,5,1,0.7,log2,95.06989854397526,93.4066458663666,95.24332079744677,93.68433829442225
2,5,2,5,1,0.9,sqrt,94.86569995300404,93.23171875266398,95.07070153179754,93.57583760354406
3,5,2,5,1,0.9,log2,94.74914567264854,93.29019828482771,94.96051079616763,93.59073388087947
4,5,2,5,3,0.7,sqrt,94.61780148133026,92.93983257463387,94.81910996821117,93.21987764029153
5,5,2,5,3,0.7,log2,94.26769207213988,93.40698685489232,94.49899263345728,93.71345949957134
6,5,2,5,3,0.9,sqrt,94.55944991313187,93.17340971476311,94.76857844940963,93.47084791153982
7,5,2,5,3,0.9,log2,94.53035918962772,92.93983257463387,94.73311718268292,93.25307803798415
8,5,2,6,1,0.7,sqrt,95.77007483205848,93.1152711711251,95.88878163475043,93.3365751506799
9,5,2,6,1,0.7,log2,95.49302184143428,93.58140248580635,95.64387381303223,93.84909992146669
10,5,2,6,1,0.9,sqrt,95.63882633390962,93.34884831125432,95.77962312400985,93.58593412992036
11,5,2,6,1,0.9,log2,95.78462019381057,94.2812814348797,95.93578907103876,94.52691085520539
12,5,2,6,3,0.7,sqrt,94.95332299847104,93.40698685489232,95.13683848246176,93.68343638529677
13,5,2,6,3,0.7,log2,95.05547014054137,93.69750907881951,95.23126806208533,93.96713605146545
14,5,2,6,3,0.9,sqrt,95.46377162931442,93.58174347433209,95.60818174090657,93.85794834658292
15,5,2,6,3,0.9,log2,95.09927634698766,93.3485073227286,95.28256552215674,93.60023863502566
16,5,2,7,1,0.7,sqrt,96.25140084167458,94.04906824885343,96.3632455964832,94.27943692147132
17,5,2,7,1,0.7,log2,96.1347508681497,93.93108621894874,96.24822398289663,94.16792926337412
18,5,2,7,1,0.9,sqrt,96.49936310879464,93.9904182224268,96.58627494484658,94.20587519073823
19,5,2,7,1,0.9,log2,96.51399353114174,93.99024772816395,96.61136379852617,94.22014982083047
