SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,5,2,5,1,0.7,sqrt,77.77143327589957,74.52279235716632,78.75605781493027,75.44352899759
1,5,2,5,1,0.7,log2,77.68769369189243,75.5875311018262,78.89670016748556,76.8255057827419
2,5,2,5,1,0.9,sqrt,76.41405617530428,73.29092530867095,78.17475773357403,75.1492337338594
3,5,2,5,1,0.9,log2,77.88327227322,75.86764314664413,79.10031827158136,77.22451523340943
4,5,2,5,3,0.7,sqrt,77.6735900798388,75.53025679545561,79.24323993264522,77.33233527511459
5,5,2,5,3,0.7,log2,77.95344729914359,75.8119337120323,79.08834721253321,76.94475289861
6,5,2,5,3,0.9,sqrt,77.2535788283123,75.30804500571178,78.21100384338766,76.62301276912528
7,5,2,5,3,0.9,log2,78.14910428832135,75.25327449415519,79.90089150160995,76.93931109153709
8,5,2,6,1,0.7,sqrt,80.7111297983154,77.38024818866094,81.56169862721792,78.57170028634324
9,5,2,6,1,0.7,log2,80.8091984169455,76.2047165234809,82.02448422313726,77.59262691825172
10,5,2,6,1,0.9,sqrt,80.8370136018018,77.49057164765347,82.33896138598745,79.22896844665652
11,5,2,6,1,0.9,log2,79.66127808716209,76.53928610550365,80.94786094284294,77.97942183811249
12,5,2,6,3,0.7,sqrt,80.31902194047669,78.3864607295432,81.78415246212985,80.05149632091667
13,5,2,6,3,0.7,log2,79.60531448408614,76.59405661706022,80.91078061269596,77.9693927035596
14,5,2,6,3,0.9,sqrt,80.08107371710057,77.04395724770356,81.77987145653411,79.00466110489094
15,5,2,6,3,0.9,log2,79.24124723367302,76.42786723627998,80.75800138570442,77.90316973215027
16,5,2,7,1,0.7,sqrt,81.59289468061542,77.43564464892103,82.78752004024031,78.93657546763097
17,5,2,7,1,0.7,log2,81.45298567292556,77.88257202322268,82.91086042427787,79.60629190474184
18,5,2,7,1,0.9,sqrt,83.23091307901747,77.09935370796363,84.42577893573404,78.61746204496572
19,5,2,7,1,0.9,log2,82.26475194696494,77.77146612835078,83.6262350459636,79.48380714943517
20,5,2,7,3,0.7,sqrt,80.96302481804479,77.21124203871493,82.50292418460383,78.93382089223745
21,5,2,7,3,0.7,log2,81.35496605920184,77.49198003223637,83.01251087729193,79.42051420822146
22,5,2,7,3,0.9,sqrt,81.27094224673775,77.71575669373894,82.73248200419849,79.37180386241857
23,5,2,7,3,0.9,log2,81.69080648354515,78.55562336666509,83.34718789846029,80.53526955769037
24,5,2,8,1,0.7,sqrt,83.79053930879559,78.16205811933712,84.89047806658017,79.60289296995494
25,5,2,8,1,0.7,log2,83.58075910560163,77.66051672065475,84.76507328771928,79.0980952487093
26,5,2,8,1,0.9,sqrt,85.2182090470898,79.11600394347683,86.39142621870191,80.77119137063663
27,5,2,8,1,0.9,log2,85.07868227766964,79.22710983834872,85.99157567017632,80.6169804486127
28,5,2,8,3,0.7,sqrt,82.33480936111323,77.88366743345382,83.66486214219165,79.70887880542352
29,5,2,8,3,0.7,log2,81.69076727962003,78.38755613977433,83.38909091991069,80.4406903512074
30,5,2,8,3,0.9,sqrt,83.81872693094031,78.44326557438617,85.01770993416514,79.7100403173079
31,5,2,8,3,0.9,log2,82.44706980062844,79.00286371531851,83.94116292247855,80.60141472778308
32,5,2,9,1,0.7,sqrt,85.68012929454497,78.2766067320783,86.59747216420173,79.70248070382634
33,5,2,9,1,0.7,log2,85.83428892900757,79.45151244855484,86.77415254503202,80.90259005448806
34,5,2,9,1,0.9,sqrt,85.96026094132544,79.45213839725834,86.98817789349867,80.97635540330754
35,5,2,9,1,0.9,log2,85.84838274007993,79.11412609736631,87.00583064307766,80.8795435345138
36,5,2,9,3,0.7,sqrt,82.71280380591705,77.66020374630298,83.96608145106867,79.07366605446704
37,5,2,9,3,0.7,log2,83.34285988713191,78.05110871164106,84.68306818131153,79.64418064615658
38,5,2,9,3,0.9,sqrt,83.39851965978833,78.50116582946028,84.76388693827171,80.41429738612725
39,5,2,9,3,0.9,log2,84.12657575276438,77.60418133733941,85.21122325778599,78.97595304086884
40,5,2,10,1,0.7,sqrt,86.6742624271542,79.0036461511979,87.45227005119416,80.20835725470373
41,5,2,10,1,0.7,log2,86.86993901829452,79.17265230114393,87.76531992667891,80.46696503000301
42,5,2,10,1,0.9,sqrt,87.86404274795994,78.78002597687119,88.64313326954858,79.86486914246032
43,5,2,10,1,0.9,log2,87.7799111247018,79.73162449337275,88.52337003177804,80.73995087113622
44,5,2,10,3,0.7,sqrt,83.56668489649184,78.05142168599282,84.76313993429298,79.58770382684384
45,5,2,10,3,0.7,log2,84.35046936899322,79.45073001267545,85.56838454521059,81.13260039702045
46,5,2,10,3,0.9,sqrt,84.99462906226171,78.94793671658607,86.14075261601076,80.56764723227315
47,5,2,10,3,0.9,log2,84.96646104207952,78.66860710764753,86.019794827862,80.06717256037804
48,5,2,11,1,0.7,sqrt,87.89195594262897,79.6752891100574,88.55642813702022,80.8242564284744
49,5,2,11,1,0.7,log2,88.03196296013157,79.78811636386398,88.70132082358197,80.94790987496617
50,5,2,11,1,0.9,sqrt,89.17971667323332,79.56418321518551,89.79390343027937,80.63531024329572
51,5,2,11,1,0.9,log2,88.70384962942491,78.89160133327074,89.43114915497326,80.18530626890724
52,5,2,11,3,0.7,sqrt,85.05050445650619,79.228048761404,85.913971470805,80.58618452269923
53,5,2,11,3,0.7,log2,84.72841480889066,78.22027134876296,85.75612911272384,79.4809541336194
54,5,2,11,3,0.9,sqrt,85.23244987288126,78.05267358339985,86.27129656237749,79.55016768836597
55,5,2,11,3,0.9,log2,85.37232947762729,78.7794000281677,86.37858414654913,80.15780307676513
56,5,2,12,1,0.7,sqrt,88.96985806218918,78.27691970643006,89.4496018281677,79.1992666425952
57,5,2,12,1,0.7,log2,88.26990138252641,79.84460823435519,88.97740216588706,80.86322313599442
58,5,2,12,1,0.9,sqrt,89.69771813553973,78.61164577562867,90.24963501159486,79.80532479947759
59,5,2,12,1,0.9,log2,89.29161447644137,79.3405630408588,89.90540244956901,80.49940631333061
60,5,2,12,3,0.7,sqrt,85.2462888584405,80.01142356383892,86.06326171826197,81.03377085792476
61,5,2,12,3,0.7,log2,85.3863742837933,78.38818208847785,86.13897650180412,79.45241862764591
62,5,2,12,3,0.9,sqrt,86.07228615729008,79.61989264979735,86.72445864104637,80.67267276313528
63,5,2,12,3,0.9,log2,85.94626514006582,79.33868519474828,86.68248950943664,80.43665275171091
64,5,2,13,1,0.7,sqrt,90.13161737753185,80.46007229707526,90.56177847984539,81.16632593888096
65,5,2,13,1,0.7,log2,89.22176288289985,79.56402672800964,89.78622544460639,80.48242141889264
66,5,2,13,1,0.9,sqrt,91.43340331233964,79.39611598829475,91.77682645067534,80.18823768734433
67,5,2,13,1,0.9,log2,91.67127312786556,78.66751169741639,91.96813361382551,79.34366691591647
68,5,2,13,3,0.7,sqrt,85.38629587594309,79.00333317684616,86.21587469118906,80.18768854916438
69,5,2,13,3,0.7,log2,85.47029028546339,79.61973616262148,86.16462920986194,80.75834871000065
70,5,2,13,3,0.9,sqrt,86.18420356246068,80.62704411373487,86.96494990642233,81.56887600538522
71,5,2,13,3,0.9,log2,85.63824970156011,79.56418321518551,86.44814299581786,80.64981749208165
72,5,2,14,1,0.7,sqrt,89.34776429816154,78.44451747179319,89.87494948323922,79.47174009022098
73,5,2,14,1,0.7,log2,89.86559914378628,79.78811636386399,90.25512718416847,80.60586554186287
74,5,2,14,1,0.9,sqrt,91.47524370139936,79.67669749464031,91.81661306840493,80.26625049367561
75,5,2,14,1,0.9,log2,91.57339072787968,79.33884168192415,91.87293121767668,79.92440041395868
76,5,2,14,3,0.7,sqrt,85.83425952606373,79.17202635244041,86.57961164854908,80.08474751528233
77,5,2,14,3,0.7,log2,85.38631547790565,79.56387024083375,86.16000409027242,80.67706204794594
78,5,2,14,3,0.9,sqrt,86.70224422869218,79.11475204606981,87.37416202750528,79.9386444019179
79,5,2,14,3,0.9,log2,87.97611696883094,80.51562524451118,88.44734466949997,81.11191734878047
80,5,3,5,1,0.7,sqrt,78.06552152001458,75.81036884027354,79.42355008225486,77.23593647582574
81,5,3,5,1,0.7,log2,77.26774124625358,73.85287075724143,78.66510893191463,75.47125186270586
82,5,3,5,1,0.9,sqrt,78.21965175153338,75.81036884027354,79.62227634899534,77.47447303948468
83,5,3,5,1,0.9,log2,78.45745296019038,75.36250254291662,79.54432109266037,76.49178374179611
84,5,3,5,3,0.7,sqrt,77.5477748832213,75.13841290706227,78.96486196276446,76.75231778682478
85,5,3,5,3,0.7,log2,77.23937720644591,75.14076021470039,78.59818574252853,76.54589214936374
86,5,3,5,3,0.9,sqrt,77.6595060697477,75.25155313522056,78.79025834203769,76.46521053713626
87,5,3,5,3,0.9,log2,77.25348081849954,75.30757554418415,78.21760837293961,76.26254695170225
88,5,3,6,1,0.7,sqrt,79.19942644657583,75.75544184154109,80.59548642249062,77.47046855040945
89,5,3,6,1,0.7,log2,80.55730339721613,76.03602334788664,81.76973401144906,77.59910205304186
90,5,3,6,1,0.9,sqrt,80.65502898150164,75.92288311972834,82.21421245085506,77.5412478789663
91,5,3,6,1,0.9,log2,79.73130609836657,76.31519646964931,81.14548457952726,77.99995528714926
92,5,3,6,3,0.7,sqrt,79.95534672931454,77.60308592710827,81.06472112503205,78.86730720490027
93,5,3,6,3,0.7,log2,80.31935517384001,76.70688387086678,81.82675457828906,78.45217114395298
94,5,3,6,3,0.9,sqrt,79.47914645214279,76.31410105941818,80.79836094474263,77.74221997641855
95,5,3,6,3,0.9,log2,79.67525428645918,76.09204575685023,81.09097203739765,77.57582618304194
96,5,3,7,1,0.7,sqrt,81.80293951030377,77.49198003223637,83.29306753606606,79.32694922445262
97,5,3,7,1,0.7,log2,81.43898987166595,76.9317559426005,82.7192457294183,78.55775074529923
98,5,3,7,1,0.9,sqrt,82.768875219787,78.33059480775549,84.21407312715827,80.18946578839132
99,5,3,7,1,0.9,log2,82.22315658243703,76.98856078744346,83.55627749986365,78.48276925597872
100,5,3,7,3,0.7,sqrt,80.41711016106932,76.42724128757648,82.03981151589623,78.48868540509505
101,5,3,7,3,0.7,log2,81.31302766032935,76.26011298374098,82.62000988310729,77.77171272470382
102,5,3,7,3,0.9,sqrt,81.85889331239844,78.05079573728932,83.22863789532946,79.4828602257712
103,5,3,7,3,0.9,log2,82.13870152679685,77.82827097319374,83.58619092777353,79.46445770105697
104,5,3,8,1,0.7,sqrt,83.9864805264303,78.3870866782467,85.35175656085823,80.15878732056079
105,5,3,8,1,0.7,log2,83.73450709885076,78.10807004365992,84.7642555279696,79.6241008163677
106,5,3,8,1,0.9,sqrt,84.82645402457696,77.26695147332676,85.8802398226733,79.0281193335447
107,5,3,8,1,0.9,log2,84.33633635399576,78.55421498208221,85.5486300881388,80.2385425615288
108,5,3,8,3,0.7,sqrt,82.26474214598365,78.55546687948922,83.71276642974857,80.45543857236369
109,5,3,8,3,0.7,log2,82.06907535582462,77.99508630267749,83.40036728233872,79.70121743932232
110,5,3,8,3,0.9,sqrt,83.09080805170213,77.26773390920614,84.2701076126301,78.75300705011328
111,5,3,8,3,0.9,log2,82.74072680156736,77.93922038088978,83.92479155881146,79.40959556384689
112,5,3,9,1,0.7,sqrt,85.90430713923078,78.10791355648405,86.67018462280167,79.16391794256089
113,5,3,9,1,0.7,log2,85.246484878066,78.4443609846173,86.23799784733421,79.5905627897414
114,5,3,9,1,0.9,sqrt,85.94625533908454,79.39595950111887,86.94545512918761,80.94620933267687
115,5,3,9,1,0.9,log2,85.45644149892286,78.1074440949564,86.47459962219297,79.57793064667254
116,5,3,9,3,0.7,sqrt,83.02085844834785,78.8352659499554,84.23160106605255,80.20983703547223
117,5,3,9,3,0.7,log2,83.18859244187529,78.44357854873793,84.60480263733132,80.21314579879218
118,5,3,9,3,0.9,sqrt,83.650532291293,78.66688574871287,84.97697510269519,80.26033315354528
119,5,3,9,3,0.9,log2,84.68653521590582,79.11443907171807,85.81975834681882,80.55495382399492
120,5,3,10,1,0.7,sqrt,86.33832399299818,79.50722188316665,87.20962351358956,80.63901355942333
121,5,3,10,1,0.7,log2,86.29628758431294,79.95508818052362,87.18288303665193,81.27932792677151
122,5,3,10,1,0.9,sqrt,87.24803147291107,80.01142356383892,88.13578605188412,81.28467734815483
123,5,3,10,1,0.9,log2,87.6259867137898,80.51546875733531,88.40347514191862,81.64284334437761
124,5,3,10,3,0.7,sqrt,84.12659535472692,78.50116582946028,85.2663300964037,79.95640237817827
125,5,3,10,3,0.7,log2,83.34249725082475,78.05220412187222,84.67669461712731,79.50868882404427
126,5,3,10,3,0.9,sqrt,84.56035738298118,79.00302020249438,85.82072267657324,80.67404861234021
127,5,3,10,3,0.9,log2,85.40030147818399,78.72369059355584,86.42038090130151,79.9805191108856
128,5,3,11,1,0.7,sqrt,87.76595452736728,79.11443907171807,88.44836288831836,80.09744762478898
129,5,3,11,1,0.7,log2,86.63178497431161,79.061546406272,87.50391838918475,80.39698280828895
130,5,3,11,1,0.9,sqrt,88.11583975787656,79.6762280331127,88.82284491082203,80.77722255737065
131,5,3,11,1,0.9,log2,88.19979496347175,79.28313224731231,88.82478729173529,80.26751326755429
132,5,3,11,3,0.7,sqrt,84.70058002207182,78.94762374223433,85.69696968089553,80.26980618952908
133,5,3,11,3,0.7,log2,84.47663740093658,80.34755801762046,85.54091425672613,81.69428468528662
134,5,3,11,3,0.9,sqrt,84.96663745974247,78.77971300251943,86.09313732459547,80.27526558239786
135,5,3,11,3,0.9,log2,85.45642189696032,79.28407117036758,86.35650130156837,80.45185030636166
136,5,3,12,1,0.7,sqrt,88.47988740632712,79.0596685601615,89.09595218206796,80.29783039671214
137,5,3,12,1,0.7,log2,88.50797701865912,79.50909972927718,89.10902430812754,80.49517701364515
138,5,3,12,1,0.9,sqrt,89.90754734364005,78.66766818459226,90.3571667302634,79.42149773975991
139,5,3,12,1,0.9,log2,89.23570967925309,79.50847378057368,89.81195554944415,80.59322567742495
140,5,3,12,3,0.7,sqrt,85.21842466867783,78.77893056664004,86.03308302488412,80.02229109301841
141,5,3,12,3,0.7,log2,85.34444568590207,78.83620487301066,86.29946239059669,80.11795715391588
142,5,3,12,3,0.9,sqrt,85.9603197472131,78.38818208847785,86.83025165672676,79.72291701425013
143,5,3,12,3,0.9,log2,85.66651573155504,78.72353410637999,86.59035482990406,80.06636966283087
144,5,3,13,1,0.7,sqrt,89.22166487308708,79.00427209990141,89.6433461610203,79.6769358121099
145,5,3,13,1,0.7,log2,88.71780622675942,79.11569096912507,89.32190122540517,80.04900160292644
146,5,3,13,1,0.9,sqrt,90.06164817221502,80.51609470603884,90.58470001888249,81.32931127398096
147,5,3,13,1,0.9,log2,90.00559636030759,79.84335633694816,90.4954038612803,80.97825062213761
148,5,3,13,3,0.7,sqrt,85.23236166404982,78.66751169741639,86.22059593037557,79.9675952316392
149,5,3,13,3,0.7,log2,85.4422300760752,79.56308780495436,86.07865600997198,80.41953298256294
150,5,3,13,3,0.9,sqrt,86.59028761959647,79.22789227422811,87.3651699883264,80.44485405287108
151,5,3,13,3,0.9,log2,86.28236038992225,79.50753485751842,86.87398891365532,80.26967349340175
152,5,3,14,1,0.7,sqrt,89.62753330863487,78.94887563964133,90.11518893873924,79.79082777947657
153,5,3,14,1,0.7,log2,89.76769714183783,79.39486409088774,90.10894703347941,79.9769194839042
154,5,3,14,1,0.9,sqrt,90.69150823380437,79.39611598829475,91.00951988103915,80.01970926480297
155,5,3,14,1,0.9,log2,90.73346623463941,78.05314304492747,91.14438268226571,78.72009818374309
156,5,3,14,3,0.7,sqrt,85.47027068350083,78.89285323067774,86.2155528107297,79.9388554686493
157,5,3,14,3,0.7,log2,85.20443866839948,78.33200319233839,85.93282890597452,79.4972771415545
158,5,3,14,3,0.9,sqrt,86.7581000209741,79.05998153451324,87.42058289701448,80.11663994289314
159,5,3,14,3,0.9,log2,86.49229740881657,78.72322113202823,87.23511065356412,79.85439690603633
160,5,5,5,1,0.7,sqrt,78.6814739891758,76.4270848004006,80.04448733098023,77.73081265125809
161,5,5,5,1,0.7,log2,77.93956910965927,75.02715052501448,79.08812924484833,76.1563708164127
162,5,5,5,1,0.9,sqrt,77.85548649130752,75.13903885576576,78.94851496931963,76.15893864916464
163,5,5,5,1,0.9,log2,77.60357186961558,74.13047900724536,78.83877230234488,75.70038572352483
164,5,5,5,3,0.7,sqrt,77.82756349565719,74.18837926231944,79.22570339984237,75.62122074767473
165,5,5,5,3,0.7,log2,78.35952155529812,75.69957591975339,79.97618853493825,77.08503394920223
166,5,5,5,3,0.9,sqrt,78.38738574506078,76.65117443625495,79.59561208788422,78.04886363386564
167,5,5,5,3,0.9,log2,77.12766562188207,74.63561961097288,77.88504570038862,75.59660197653066
168,5,5,6,1,0.7,sqrt,79.7030204664091,76.70829225544966,81.09879349949448,78.33843027242271
169,5,5,6,1,0.7,log2,79.66139569893738,75.64339702361391,80.78498318156541,76.8459223114465
170,5,5,6,1,0.9,sqrt,80.78097159087567,77.09872775926013,82.37596941437835,78.74633824821795
171,5,5,6,1,0.9,log2,80.51525718754962,76.4816988247813,81.8947358896246,78.13629900006458
172,5,5,6,3,0.7,sqrt,79.26934664698629,76.37184482731641,80.62832507750592,77.72477649405242
173,5,5,6,3,0.7,log2,79.49316185536496,76.87573353363692,81.16600292457399,78.74590946448146
174,5,5,6,3,0.9,sqrt,79.92714930618854,77.04270535029653,81.35308267096221,78.57564114528343
175,5,5,6,3,0.9,log2,79.00331861225946,76.81877220161807,80.41662222385779,78.24159840800068
176,5,5,7,1,0.7,sqrt,82.05498154475225,77.21155501306669,83.37298961967112,78.9817287502311
177,5,5,7,1,0.7,log2,81.92910754224714,76.81892868879395,83.32873665124674,78.71225731187675
178,5,5,7,1,0.9,sqrt,82.50279818015379,77.71466128350781,83.79043670434866,79.38899697980807
179,5,5,7,1,0.9,log2,82.72696622385834,77.8831979719262,84.00662260906229,79.44842740612143
180,5,5,7,3,0.7,sqrt,81.18706544899275,77.60308592710827,82.85144918492506,79.66586251536508
181,5,5,7,3,0.7,log2,81.53713689814624,77.09904073361187,82.63195093287787,78.33019044255548
182,5,5,7,3,0.9,sqrt,81.90078270636457,77.99539927702924,83.4274815662899,79.67042092848438
183,5,5,7,3,0.9,log2,81.52279806254201,77.54675054379292,83.09542367806287,79.12567723012354
184,5,5,8,1,0.7,sqrt,83.45456167071447,79.1707744550334,84.6881910657687,80.65338186577704
