SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,5,2,5,1,0.7,sqrt,95.5487165227942,94.243526037248,95.68128081205442,94.45458047532283
1,5,2,5,1,0.7,log2,96.0655451776393,92.98711267321134,96.17146562644976,93.20034077403974
2,5,2,5,1,0.9,sqrt,95.81842999962085,93.88478164262916,95.92949966070128,94.02923065445424
3,5,2,5,1,0.9,log2,95.61593003121803,93.52563325657496,95.72436997842921,93.7205870748836
4,5,2,5,3,0.7,sqrt,95.00911262496683,93.43594715792027,95.13349522946683,93.6120200495737
5,5,2,5,3,0.7,log2,95.21128398276059,93.88478164262916,95.36255385411033,94.14358015272639
6,5,2,5,3,0.9,sqrt,95.07627557791231,93.34747303357169,95.1986340502933,93.55770615324603
7,5,2,5,3,0.9,log2,94.98651432615868,93.16648487052073,95.14136286467777,93.41637183465443
8,5,2,6,1,0.7,sqrt,96.51548893466968,93.796711509716,96.60091240331299,93.98375667588785
9,5,2,6,1,0.7,log2,96.87498894098911,94.06576980568012,96.93917095989052,94.2417075971666
10,5,2,6,1,0.9,sqrt,96.80752265517374,94.33523209307963,96.87268972294589,94.47510691592032
11,5,2,6,1,0.9,log2,96.31286257757108,94.42411020886358,96.40290231158494,94.60013357498
12,5,2,6,3,0.7,sqrt,95.86344965306303,93.61612733810043,95.9808795163837,93.84432254139506
13,5,2,6,3,0.7,log2,95.52594127981193,93.07639478043065,95.64486981875558,93.29470467860847
14,5,2,6,3,0.9,sqrt,96.24559851366892,93.97648769846079,96.3359594842516,94.1556825269891
15,5,2,6,3,0.9,log2,96.1781575055927,93.88518563406457,96.28615816280106,94.13472168344732
16,5,2,7,1,0.7,sqrt,97.2121939813703,94.06536581424474,97.25782348629039,94.19018663460875
17,5,2,7,1,0.7,log2,97.12240745187749,93.88558962549996,97.19401889357073,94.08018959951903
18,5,2,7,1,0.9,sqrt,97.68428103790396,94.69518846200462,97.72590881015492,94.80500057966535
19,5,2,7,1,0.9,log2,97.5942922864979,94.51420029895367,97.63811947139358,94.67635228128044
20,5,2,7,3,0.7,sqrt,96.02060135741459,93.25738294348159,96.11623903113733,93.45553975533116
21,5,2,7,3,0.7,log2,96.3352839322051,93.88518563406456,96.40973868627617,94.07709717355445
22,5,2,7,3,0.9,sqrt,96.22307604807825,94.2455459944249,96.29693058548388,94.38866500610897
23,5,2,7,3,0.9,log2,96.49271369168743,94.69518846200462,96.57394623226398,94.8647294496919
24,5,2,8,1,0.7,sqrt,97.84178663060375,94.42491819173433,97.87325663280768,94.5724162616608
