SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,5,2,5,1,0.7,sqrt,79.49664438012664,73.02629984244334,80.39462285447371,73.93145467451465
1,5,2,5,1,0.7,log2,79.09252916419155,72.57665737486366,80.47998888666748,74.08078081292734
2,5,2,5,1,0.9,sqrt,80.5754224542157,73.74863652890559,81.46434424486728,74.77873787952551
3,5,2,5,1,0.9,log2,80.77789714487936,74.64590150688805,81.42481046184955,75.41013764227476
4,5,2,5,3,0.7,sqrt,79.11414163117252,73.29455015553671,79.94750520071958,74.10398363459312
5,5,2,5,3,0.7,log2,79.5411332010465,73.30061002706742,80.47406738431829,73.96387933149298
6,5,2,5,3,0.9,sqrt,79.78893087802227,73.47675029289378,81.28936748555759,75.25291092474751
7,5,2,5,3,0.9,log2,80.35098140822285,75.36339029612571,81.16506993978959,75.90317474063603
8,5,2,6,1,0.7,sqrt,81.85690271862086,76.08693895689412,82.85678383537714,77.13577642217085
9,5,2,6,1,0.7,log2,81.99155723512088,76.4444713772068,83.00103418286706,77.98619414828147
10,5,2,6,1,0.9,sqrt,82.55396165366969,76.08734294832949,83.53264617991825,76.81089804818501
11,5,2,6,1,0.9,log2,83.63306833836782,76.08370702541107,84.59117469625656,77.43708343528226
12,5,2,6,3,0.7,sqrt,80.1487342172116,75.36217832181957,81.44665660636743,76.17655925520404
13,5,2,6,3,0.7,log2,80.55338026566903,74.37926715953623,81.3486923144973,74.76924068720862
14,5,2,6,3,0.9,sqrt,80.89038308413696,74.46652930957863,81.98971471104232,75.86639086799968
15,5,2,6,3,0.9,log2,82.17204029271622,78.06124510160384,83.13412718908297,78.88585138369515
16,5,2,7,1,0.7,sqrt,84.68972839069274,76.89451783622188,85.45390102407771,77.67777973479491
17,5,2,7,1,0.7,log2,84.21794466702899,75.36096634751344,84.93707402050642,76.39138978557375
18,5,2,7,1,0.9,sqrt,84.32974810732927,77.16721205510443,85.16186971648878,78.13673063483076
19,5,2,7,1,0.9,log2,84.7799699194904,77.52595644972328,85.7655773766035,78.81218154167826
20,5,2,7,3,0.7,sqrt,81.74451789031988,75.45388437765119,82.66751056343452,76.07199154701195
21,5,2,7,3,0.7,log2,82.05945324250197,76.98218397769966,83.12272320609937,77.81809623635407
22,5,2,7,3,0.9,sqrt,83.43120031344397,76.08370702541106,84.15489881240524,77.01506764970921
23,5,2,7,3,0.9,log2,83.74535205571213,75.99644487536865,84.65046076045893,76.9954145853176
24,5,2,8,1,0.7,sqrt,86.3307844946348,75.36541025330263,87.08371121009606,76.49766445021096
25,5,2,8,1,0.7,log2,85.27455416387559,76.89007393043268,86.2181580642938,78.26985699921255
26,5,2,8,1,0.9,sqrt,85.6115569823435,78.06245707590999,86.55387107028038,79.26535345994645
27,5,2,8,1,0.9,log2,86.98307655363304,77.16236415787985,87.62984301413688,78.23150599978344
28,5,2,8,3,0.7,sqrt,83.58857951744795,75.45428836908658,84.4727095692409,76.66912435225956
29,5,2,8,3,0.7,log2,83.99294751077463,77.7004807498081,84.9720194288899,78.94450647124722
30,5,2,8,3,0.9,sqrt,84.46526206696072,76.62343958308084,85.40240949751775,78.42561397829373
31,5,2,8,3,0.9,log2,85.0721553064294,75.9952329010625,85.96005933304376,76.96940590443188
32,5,2,9,1,0.7,sqrt,87.7470456642358,77.1615561750091,88.35876022029919,78.08782887375627
33,5,2,9,1,0.7,log2,87.45501194373175,77.5231285096756,88.05830393438706,78.2477211479233
34,5,2,9,1,0.9,sqrt,88.66945564388722,78.60218963357977,89.27792038560312,79.71497134363497
35,5,2,9,1,0.9,log2,89.09637138054374,77.43021047953785,89.66741197800626,78.34572889281307
36,5,2,9,3,0.7,sqrt,85.61145587138688,76.08613097402335,86.26800869344284,76.542349323911
37,5,2,9,3,0.7,log2,84.50982672109805,77.1615561750091,85.12580824127893,77.74213443193767
38,5,2,9,3,0.9,sqrt,85.92631539035149,77.06985011917749,86.6606291180528,78.37380696223306
39,5,2,9,3,0.9,log2,85.07185197355949,75.8134367551408,85.79202796218792,76.6872959239582
40,5,2,10,1,0.7,sqrt,88.75931800659748,77.16196016644447,89.30787253253942,77.94858217274519
41,5,2,10,1,0.7,log2,88.51177310701331,77.61200662545954,89.13364939017508,78.9832957298563
42,5,2,10,1,0.9,sqrt,89.88268601256303,76.43881549711146,90.40847959047638,77.21459324647518
43,5,2,10,1,0.9,log2,90.33242754768013,76.89128590473882,90.74882206884716,77.4826526620916
44,5,2,10,3,0.7,sqrt,85.34176767229938,77.52151254393407,86.07762377966907,78.29248737819825
45,5,2,10,3,0.7,log2,86.06089407363405,77.16600008079828,86.82399001564143,78.27581801772506
46,5,2,10,3,0.9,sqrt,86.33101199428724,76.89007393043268,86.90411115943594,77.55183328677825
47,5,2,10,3,0.9,log2,86.30826202904413,78.51048357774815,86.91353014474839,79.3813228077126
48,5,2,11,1,0.7,sqrt,90.534775849648,77.69967276693734,90.8664648682436,78.45370362022331
49,5,2,11,1,0.7,log2,90.24274212914398,77.96953904577224,90.56869194264132,78.51850613342611
50,5,2,11,1,0.9,sqrt,90.91727859860214,77.78895487415667,91.36940787734366,78.48855046130573
51,5,2,11,1,0.9,log2,91.32187409158125,77.88308487860057,91.71887998756021,78.6138090693656
52,5,2,11,3,0.7,sqrt,85.45384916773044,74.82567769563285,85.85360632566348,75.11465334258992
53,5,2,11,3,0.7,log2,86.24092213192453,75.00100997858846,86.7750114279648,75.82071857253612
54,5,2,11,3,0.9,sqrt,87.7474753858015,77.52191653536944,88.21429622507247,77.99267227028169
55,5,2,11,3,0.9,log2,87.29768329520608,76.5301175615077,87.82762600906274,77.18780274275835
56,5,2,12,1,0.7,sqrt,89.95027868707423,77.52434048398173,90.38708458755579,77.98983886199994
