SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,5,2,5,1,0.7,sqrt,86.78829171355862,85.42265604765603,87.74598423596711,86.50097338969233
1,5,2,5,1,0.7,log2,86.51770741450456,84.625259000259,87.55915403072058,85.88947408106019
2,5,2,5,1,0.9,sqrt,86.6886273078444,85.02379564879566,87.68535013276025,86.27616137233333
3,5,2,5,1,0.9,log2,86.56042217963925,84.5117845117845,87.5805405365159,85.68094488436225
4,5,2,5,3,0.7,sqrt,86.43241982743761,85.47963610463611,88.01427599716358,87.27898238280719
5,5,2,5,3,0.7,log2,86.10485547140352,83.82753820253821,86.65742688335489,84.45171978989136
6,5,2,5,3,0.9,sqrt,86.432267745435,84.68175343175342,86.88776238660525,84.92242325671097
7,5,2,5,3,0.9,log2,86.48920724721437,84.51097513597514,87.00375027116394,85.07653323710457
8,5,2,6,1,0.7,sqrt,87.25799190923746,85.02379564879566,87.11646011350898,84.91264712020423
9,5,2,6,1,0.7,log2,87.08719368149973,84.91048303548304,87.48545836861732,85.39668798497786
10,5,2,6,1,0.9,sqrt,87.24384828299418,84.96713934213935,88.12079597015503,86.16526089379472
11,5,2,6,1,0.9,log2,87.44314667802213,85.0807757057757,87.76515750928964,85.628638887505
12,5,2,6,3,0.7,sqrt,86.54623799819528,85.13775576275575,86.94528434378661,85.82399180109267
13,5,2,6,3,0.7,log2,86.67427076679746,85.36583786583788,87.13372949231069,85.82440564086677
14,5,2,6,3,0.9,sqrt,86.77398586651256,84.22623672623672,86.65653049376625,84.32885405021386
15,5,2,6,3,0.9,log2,86.71698553193214,85.08093758093759,87.6803506595588,86.22067374131778
16,5,2,7,1,0.7,sqrt,87.31485030061542,85.13743201243201,87.6533672538256,85.56976611915007
17,5,2,7,1,0.7,log2,87.44312640042178,84.91032116032116,88.26044758894692,85.99806931165325
18,5,2,7,1,0.9,sqrt,87.7705995072543,84.34052059052058,88.05850057919905,84.92744998392425
19,5,2,7,1,0.9,log2,87.37196216199776,85.08126133126133,86.17281364516597,83.80880766201726
20,5,2,7,3,0.7,sqrt,86.84516024373676,84.85317922817923,87.27757358544477,85.29113593296589
21,5,2,7,3,0.7,log2,86.70275065648731,85.0241193991194,87.64324960963039,86.26148921929043
22,5,2,7,3,0.9,sqrt,86.85941539678194,85.59391996891996,87.22730369774274,86.20082910954746
23,5,2,7,3,0.9,log2,86.97327412274032,84.96632996632997,87.3826778957221,85.40191486813906
24,5,2,8,1,0.7,sqrt,87.59973030791537,84.5686026936027,88.40056340503423,85.73466927997163
25,5,2,8,1,0.7,log2,87.64245521185023,84.5686026936027,88.43542481609579,85.63826397963439
26,5,2,8,1,0.9,sqrt,88.0980117812858,84.511137011137,87.87563149949878,84.26470186245683
27,5,2,8,1,0.9,log2,88.1407671016212,84.73889536389537,88.86331682583769,85.78163713377357
