SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,5,2,5,1,0.7,sqrt,75.46980158368058,71.12843175343176,76.83183404404367,72.6740832704287
1,5,2,5,1,0.7,log2,76.25288195394957,72.66430328930328,77.71064240608567,74.41575066276243
2,5,2,5,1,0.9,sqrt,76.32384341637011,72.1526159026159,77.51809034063466,73.47210169428881
3,5,2,5,1,0.9,log2,76.69411239873874,72.8375097125097,77.66496964998957,73.86394612686215
4,5,2,5,3,0.7,sqrt,75.6122213097302,71.18492618492618,77.40437945021456,73.38672882399409
5,5,2,5,3,0.7,log2,76.35255649846397,72.49368686868686,77.64298538604761,74.08495822353723
6,5,2,5,3,0.9,sqrt,75.669069562308,72.55131442631443,77.61264771997027,74.74508384493912
7,5,2,5,3,0.9,log2,76.12462613174358,72.72338772338772,77.36909093449079,74.24831289718065
8,5,2,6,1,0.7,sqrt,77.16409648082247,72.32371794871794,78.37517420002294,73.91338586755803
9,5,2,6,1,0.7,log2,77.7192667619714,72.09482646982647,78.29589811737738,72.61710481445135
10,5,2,6,1,0.9,sqrt,78.98630248096441,73.06364931364932,80.03950905436963,74.5008481781106
11,5,2,6,1,0.9,log2,78.11772160882482,72.72095959595958,79.53193697947746,74.60621922965134
12,5,2,6,3,0.7,sqrt,77.22072167979641,72.20975783475784,78.308236565993,73.76412190422481
13,5,2,6,3,0.7,log2,77.69057395747787,72.15293965293965,79.10335632314349,73.86520604736415
14,5,2,6,3,0.9,sqrt,78.01840192231651,73.63215488215488,79.24575197668946,75.19881856923007
15,5,2,6,3,0.9,log2,78.50192130263305,74.3743524993525,79.77411158218946,75.644502233402
16,5,2,7,1,0.7,sqrt,80.25348014315986,73.06300181300183,81.27678260863765,74.5814820001279
17,5,2,7,1,0.7,log2,80.09701817886871,73.6321548821549,81.3446447963012,75.1150609451418
18,5,2,7,1,0.9,sqrt,80.97945879084669,73.12208624708624,81.81518751259011,74.64051361760451
19,5,2,7,1,0.9,log2,81.49224888726667,74.03133903133903,82.30772207638128,75.00635860117202
20,5,2,7,3,0.7,sqrt,79.01475195425374,73.9748445998446,80.38854233406217,75.71843386777927
21,5,2,7,3,0.7,log2,79.95445650961666,74.2022792022792,80.79304572852783,75.24716877480886
22,5,2,7,3,0.9,sqrt,80.56653587614441,73.91721704221703,81.27972429949922,74.67719832880316
23,5,2,7,3,0.9,log2,80.58097352759275,73.3479020979021,81.29029715635355,74.38821512833276
24,5,2,8,1,0.7,sqrt,82.51688617169044,74.37386687386687,83.05176628139648,75.58624053747573
25,5,2,8,1,0.7,log2,82.85890845677322,73.40488215488215,83.72280519530764,74.7238278138508
26,5,2,8,1,0.9,sqrt,83.45668197625493,75.22840585340586,84.11095440628294,76.24354070814515
27,5,2,8,1,0.9,log2,82.16096359156857,73.63458300958301,83.17340629046495,75.37126561584314
28,5,2,8,3,0.7,sqrt,81.46333302916932,75.85194897694898,82.36141210942745,77.0664688100095
29,5,2,8,3,0.7,log2,81.57745536393224,75.28457653457654,82.58257692616272,76.85138759752394
30,5,2,8,3,0.9,sqrt,82.75899058105465,73.68978243978243,83.26391977285176,74.42306728950895
31,5,2,8,3,0.9,log2,81.9901450862305,72.95146982646983,82.97574341246543,74.26931356238639
32,5,2,9,1,0.7,sqrt,84.26840445701656,74.26006863506863,84.77245459727757,75.02085851321208
33,5,2,9,1,0.7,log2,84.36759233912258,74.77256539756539,85.03279623988284,75.89878720771958
34,5,2,9,1,0.9,sqrt,85.25059058511016,75.57044807044807,85.78790063004838,76.56753928519781
35,5,2,9,1,0.9,log2,84.99432227190236,74.5431882931883,85.758559348697,75.82336645830257
36,5,2,9,3,0.7,sqrt,83.01530958826332,74.6004921004921,83.4667683508402,75.1885463573236
37,5,2,9,3,0.7,log2,82.44575234966695,75.62597125097125,83.12077879172313,76.68424644424644
38,5,2,9,3,0.9,sqrt,83.51356064523323,73.17922817922819,84.01779279297561,73.9276067764039
39,5,2,9,3,0.9,log2,83.78421591588851,75.11331261331262,84.02685775511478,75.44024798703586
40,5,2,10,1,0.7,sqrt,85.37850168811023,73.69010619010619,85.89848353740975,74.94784629646716
41,5,2,10,1,0.7,log2,85.86264967403758,73.97241647241648,86.20319248239092,74.59104368896845
42,5,2,10,1,0.9,sqrt,86.90195780231366,74.31721056721058,87.40429837346927,75.54438224410164
43,5,2,10,1,0.9,log2,87.03000070971602,75.00080937580937,87.5691135524525,76.25689098122848
44,5,2,10,3,0.7,sqrt,83.99753627155762,74.77305102305102,84.27891301751679,75.44169842004378
45,5,2,10,3,0.7,log2,83.34284352789692,75.05649443149443,83.77210969530759,75.77975440187454
46,5,2,10,3,0.9,sqrt,84.06868023238128,74.48734136234135,84.67948113220156,75.24142595678343
47,5,2,10,3,0.9,log2,83.983372367714,73.74611499611501,84.6771607696638,74.82394740317018
48,5,2,11,1,0.7,sqrt,86.4037675781448,72.3240416990417,86.74579291930652,73.20968353070576
49,5,2,11,1,0.7,log2,86.44638095527775,71.6397953897954,86.98751969613761,72.96322575440051
50,5,2,11,1,0.9,sqrt,88.53901917247113,73.74724812224811,88.98584331183358,74.57352307050623
51,5,2,11,1,0.9,log2,88.53908000527217,74.48863636363636,88.84059247749497,75.13679801015479
52,5,2,11,3,0.7,sqrt,83.91209660248805,74.54594017094016,84.39586693238962,75.3908654550886
53,5,2,11,3,0.7,log2,83.8412263892691,74.60162522662522,84.21544934892464,74.92159638832263
