SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,5,2,5,1,0.7,sqrt,90.48621362054199,88.06026365348399,90.6174138841199,88.32492059263714
1,5,2,5,1,0.7,log2,90.9554790151805,87.71258872953787,91.39383862334431,88.46872319595332
2,5,2,5,1,0.9,sqrt,90.91274397244547,87.89222077357671,91.35081821081684,88.44428633382122
3,5,2,5,1,0.9,log2,90.99830517740966,87.88352890047804,91.39332212960652,88.65306652806653
4,5,2,5,3,0.7,sqrt,90.23025896160223,87.0317253368101,90.75608115785691,87.81722380672763
5,5,2,5,3,0.7,log2,89.93166037942159,86.86078516586993,90.48912283182864,87.64811047730895
6,5,2,5,3,0.9,sqrt,90.1875239188672,88.22685788787483,91.05424937165797,89.37076329049967
7,5,2,5,3,0.9,log2,89.93202485739799,87.71403737505432,90.48924287517951,88.46154638128276
8,5,2,6,1,0.7,sqrt,91.1688808703734,86.85933652035347,91.52497444486698,87.51763533229892
9,5,2,6,1,0.7,log2,90.82754724545768,88.05302042590178,91.27420418908241,88.76688989273313
10,5,2,6,1,0.9,sqrt,91.42483552931313,88.56873822975517,92.09226831958365,89.55306257558593
11,5,2,6,1,0.9,log2,91.59522898328868,87.89222077357671,91.93281320561371,88.4147587747661
12,5,2,6,3,0.7,sqrt,90.06022998560312,87.5416485585977,90.22000290026486,87.90353677853679
13,5,2,6,3,0.7,log2,90.23035008109635,87.88497754599449,90.72331902492485,88.58489618996896
14,5,2,6,3,0.9,sqrt,90.40119913254243,88.91061857163554,91.18584064111081,89.91936294188628
15,5,2,6,3,0.9,log2,90.27281176534908,87.3765029697233,90.47118745500444,87.70907224437761
16,5,2,7,1,0.7,sqrt,91.63814626501194,88.05591771693466,92.24704975378263,89.13006857483602
17,5,2,7,1,0.7,log2,91.55304065751825,87.03172533681007,91.88856543114522,87.70744493025028
18,5,2,7,1,0.9,sqrt,91.76635139321705,87.54454584963061,92.07888637441567,88.22138423591912
19,5,2,7,1,0.9,log2,91.93692708618082,88.56728958423872,92.5154552722353,89.64795766249254
20,5,2,7,3,0.7,sqrt,90.10269166985584,86.85933652035347,90.62910354506428,87.43026247006733
21,5,2,7,3,0.7,log2,90.27290288484318,87.20846008981603,90.78230596464219,87.92375086745317
22,5,2,7,3,0.9,sqrt,90.0597743881326,87.88642619151092,90.52687143982902,88.65437528054294
23,5,2,7,3,0.9,log2,90.23044120059046,87.71114008402144,90.37604619000071,88.09694408644789
