SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,5,2,5,1,0.7,sqrt,79.56499553514479,72.85817760394032,78.46628221328196,71.4910885468161
1,5,2,5,1,0.7,log2,79.09536566252984,72.52209184412574,77.62242248673972,70.66655920194043
2,5,2,5,1,0.9,sqrt,80.20419878628834,73.19860930030421,78.78564132577705,71.2058366371084
3,5,2,5,1,0.9,log2,79.69265394638529,72.35404896421845,78.5501425583992,70.15231125871921
4,5,2,5,3,0.7,sqrt,79.01044229402439,71.49500217296828,78.13007546712862,70.13842847451467
5,5,2,5,3,0.7,log2,79.13782734678256,72.52788642619151,78.20784783366145,71.49584841589262
6,5,2,5,3,0.9,sqrt,79.1803801505294,72.18166014776185,78.17602594677527,70.79485991794921
7,5,2,5,3,0.9,log2,79.22375302972317,73.21019846443576,78.27338123898757,72.26950005191875
8,5,2,6,1,0.7,sqrt,81.91186922530207,73.20150659133711,81.93723476248245,72.99169099264988
9,5,2,6,1,0.7,log2,82.20928325405937,71.15022454005505,81.74387415683164,70.33568522164776
10,5,2,6,1,0.9,sqrt,82.67900424616845,73.0363610024627,82.26008247604042,72.2943274378937
11,5,2,6,1,0.9,log2,82.0818982013012,73.20295523685354,81.44733166344224,72.53865034021025
12,5,2,6,3,0.7,sqrt,79.94951980026607,71.83688251484861,79.44705082958555,70.86327645553607
13,5,2,6,3,0.7,log2,79.77739507590253,71.83688251484861,79.01340774007892,70.4489332910686
14,5,2,6,3,0.9,sqrt,81.01498004483079,75.08039982616253,80.17872915202614,74.10254808915025
15,5,2,6,3,0.9,log2,81.0990833378893,71.32985658409387,80.49920069365128,70.18852426833536
16,5,2,7,1,0.7,sqrt,83.83039017367375,75.59032304795016,83.28315188559637,75.36859863758478
17,5,2,7,1,0.7,log2,84.21464108031273,71.49934810951761,84.01476141666349,70.92910724940987
18,5,2,7,1,0.9,sqrt,84.25746724254188,73.19860930030421,84.05448319820617,72.22092138942611
19,5,2,7,1,0.9,log2,84.68417983343357,73.37679269882659,84.59126697272879,73.23489847916568
20,5,2,7,3,0.7,sqrt,82.84994441710859,69.45096334926843,82.98238606718209,70.61859033457947
21,5,2,7,3,0.7,log2,81.65473001293897,71.67028828045778,81.1399100841691,70.54818913642443
22,5,2,7,3,0.9,sqrt,83.53233830845772,69.79139504563234,83.38671804149207,69.19902654601664
23,5,2,7,3,0.9,log2,82.25201829679442,69.27422859626249,81.70926806329369,68.86835698196147
24,5,2,8,1,0.7,sqrt,85.70772511071019,73.541938287701,85.83930898185707,73.8036967919666
25,5,2,8,1,0.7,log2,85.23836859657754,75.07460524409677,85.21590181987669,74.85751964770083
26,5,2,8,1,0.9,sqrt,86.68935542069872,70.63450673620166,86.50732631413656,69.92921109083525
27,5,2,8,1,0.9,log2,86.86029559163887,72.01216862233811,86.71571051009501,71.03326216559374
28,5,2,8,3,0.7,sqrt,82.16691268930076,71.4964508184847,82.34031293357263,70.98365882115098
29,5,2,8,3,0.7,log2,82.8917682649026,73.20730117340288,82.62939844563839,72.96510081694635
