SIM,PCA_comp,Kernel,C,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,28,rbf,1.0,93.88758804346946,92.86246130980295,91.19383694539587,89.83120064205772
1,28,rbf,0.5,92.95741402337379,92.29305704865045,89.99800487276069,89.16411747994533
2,28,rbf,0.1,90.8124540138636,90.66045699525978,87.34700885821817,87.16565390358119
3,28,rbf,0.05,90.51820127901124,90.5085821891617,86.85702333888345,86.8430313181416
4,28,rbf,0.01,90.23347673653109,90.24278324110216,86.38403170255498,86.40131645587526
5,28,rbf,0.005,80.94153490353379,80.90352883456828,63.072032194591074,63.03261892830544
6,28,rbf,0.001,66.66666816764216,66.6666907165172,0.0,0.0
7,28,sigmoid,1.0,86.26617788901007,86.93948817108102,80.01900767084047,81.14379169879676
8,28,sigmoid,0.5,87.48105843988007,88.15434232076248,81.69587500463736,82.8002030172917
9,28,sigmoid,0.1,89.53119582416612,89.48348136016335,84.69686699663474,84.65281374219724
10,28,sigmoid,0.05,85.25059235997475,85.2317804344846,77.09508574221788,77.09425885146402
11,28,sigmoid,0.01,84.83295493741385,84.8139623812238,75.2090450303048,75.1836600802717
12,28,sigmoid,0.005,69.13440244815105,68.94459635933363,21.069882653528197,20.84901938768357
13,28,sigmoid,0.001,66.66666816764216,66.6666907165172,0.0,0.0
14,28,linear,1.0,90.52763941285441,90.12907554779547,86.2816982520286,85.74906825867143
15,28,linear,0.5,90.45170206116954,90.05317421952222,86.16251137574895,85.618535807697
16,28,linear,0.1,90.27134634799158,89.78751957056588,85.89634856015434,85.2069598580354
17,28,linear,0.05,89.9392510192374,89.44553069602674,85.27171422111375,84.49527471640496
18,28,linear,0.01,89.40775710134015,89.10390256924555,84.20580381547185,83.78244458244734
19,28,linear,0.005,89.44572127425614,89.293944488135,84.25762015174325,84.05964370732907
20,28,linear,0.001,84.69059041471053,84.6242090605407,75.37074331987661,75.2944319321928
21,28,poly,1.0,92.56829813695921,91.60929574822691,88.45341012509364,87.08170069487892
