SIM,PCA_comp,Kernel,C,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,28,rbf,1.0,85.59079516974253,79.36139332365747,87.06393682915161,80.94706087505257
1,28,rbf,0.5,84.82797903850535,77.84470246734398,86.34279175861327,79.74591471226502
2,28,rbf,0.1,77.29004329004329,75.96516690856315,80.28951664789228,79.3398237826204
3,28,rbf,0.05,74.99886078833448,73.66473149492018,78.83913713735227,77.92429792429793
4,28,rbf,0.01,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
5,28,rbf,0.005,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
6,28,rbf,0.001,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
7,28,sigmoid,1.0,75.57439052175894,75.22496371552975,78.5097530800415,77.97016583752566
8,28,sigmoid,0.5,73.28275233538392,73.29462989840349,76.90494819369411,76.7853456069481
9,28,sigmoid,0.1,71.56482114376853,70.60957910014514,76.16075854879408,75.53047906622264
10,28,sigmoid,0.05,70.99248120300753,70.99419448476053,75.79451406626137,75.76857430431788
11,28,sigmoid,0.01,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
12,28,sigmoid,0.005,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
13,28,sigmoid,0.001,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
14,28,linear,1.0,83.39667350193668,77.46734397677794,85.09941396983048,79.34429932950596
15,28,linear,0.5,82.82433356117565,77.09724238026125,84.59440817138398,79.20357685711001
16,28,linear,0.1,80.82023239917977,77.86647314949201,83.01837364365525,80.35206530190028
17,28,linear,0.05,79.10594668489406,77.11175616835995,81.82455981905142,80.47369452984252
18,28,linear,0.01,75.38118022328548,74.81132075471699,79.26649559636665,78.86349182581107
19,28,linear,0.005,74.80884028252449,74.4267053701016,78.85167920352698,78.60555531787456
20,28,linear,0.001,72.23786739576215,72.50362844702467,76.53251017557588,76.74723458163392
21,28,poly,1.0,65.36295283663705,62.22060957910014,74.28516322905774,72.13819146764646
22,28,poly,0.5,63.45500113921167,61.835994194484755,73.23729432752066,72.10548753083292
23,28,poly,0.1,60.594668489405336,58.39622641509435,71.7434102134792,70.45719552020515
24,28,poly,0.05,61.45682387787651,58.76632801161102,72.22095745034929,70.48376657575963
25,28,poly,0.01,54.292549555707446,51.153846153846146,35.232198448729704,31.20473597787572
26,28,poly,0.005,54.2036910457963,53.02612481857765,49.11923910521237,50.33026473188745
27,28,poly,0.001,51.14467988152198,50.75471698113208,67.17962810332062,67.0064935064935
28,27,rbf,1.0,85.59079516974253,79.36139332365747,87.06393682915161,80.94706087505257
29,27,rbf,0.5,84.82797903850535,77.84470246734398,86.34279175861327,79.74591471226502
30,27,rbf,0.1,77.29004329004329,75.96516690856315,80.28951664789228,79.3398237826204
31,27,rbf,0.05,74.99886078833448,73.66473149492018,78.83913713735227,77.92429792429793
32,27,rbf,0.01,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
33,27,rbf,0.005,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
34,27,rbf,0.001,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
35,27,sigmoid,1.0,75.57439052175894,75.22496371552975,78.5097530800415,77.97016583752566
36,27,sigmoid,0.5,73.28275233538392,73.29462989840349,76.90494819369411,76.7853456069481
37,27,sigmoid,0.1,71.56482114376853,70.60957910014514,76.16075854879408,75.53047906622264
38,27,sigmoid,0.05,70.99248120300753,70.99419448476053,75.79451406626137,75.76857430431788
39,27,sigmoid,0.01,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
40,27,sigmoid,0.005,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
41,27,sigmoid,0.001,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
42,27,linear,1.0,83.39667350193668,77.46734397677794,85.09941396983048,79.34429932950596
43,27,linear,0.5,82.82433356117565,77.09724238026125,84.59440817138398,79.20357685711001
44,27,linear,0.1,80.82023239917977,77.86647314949201,83.01837364365525,80.35206530190028
45,27,linear,0.05,79.10594668489406,77.11175616835995,81.82455981905142,80.47369452984252
46,27,linear,0.01,75.38118022328548,74.81132075471699,79.26649559636665,78.86349182581107
47,27,linear,0.005,74.80884028252449,74.4267053701016,78.85167920352698,78.60555531787456
48,27,linear,0.001,72.23786739576215,72.50362844702467,76.53251017557588,76.74723458163392
49,27,poly,1.0,65.36295283663705,62.22060957910014,74.28516322905774,72.13819146764646
50,27,poly,0.5,63.45500113921167,61.835994194484755,73.23729432752066,72.10548753083292
51,27,poly,0.1,60.594668489405336,58.39622641509435,71.7434102134792,70.45719552020515
52,27,poly,0.05,61.45682387787651,58.76632801161102,72.22095745034929,70.48376657575963
53,27,poly,0.01,54.292549555707446,51.153846153846146,35.232198448729704,31.20473597787572
54,27,poly,0.005,54.2036910457963,53.02612481857765,49.11923910521237,50.33026473188745
55,27,poly,0.001,51.14467988152198,50.75471698113208,67.17962810332062,67.0064935064935
56,26,rbf,1.0,85.59079516974253,79.36139332365747,87.06393682915161,80.94706087505257
57,26,rbf,0.5,84.82797903850535,77.84470246734398,86.34279175861327,79.74591471226502
58,26,rbf,0.1,77.29004329004329,75.96516690856315,80.28951664789228,79.3398237826204
59,26,rbf,0.05,74.99886078833448,73.66473149492018,78.83913713735227,77.92429792429793
60,26,rbf,0.01,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
61,26,rbf,0.005,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
62,26,rbf,0.001,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
63,26,sigmoid,1.0,75.57439052175894,75.22496371552975,78.5097530800415,77.97016583752566
64,26,sigmoid,0.5,73.28275233538392,73.29462989840349,76.90494819369411,76.7853456069481
65,26,sigmoid,0.1,71.56482114376853,70.60957910014514,76.16075854879408,75.53047906622264
66,26,sigmoid,0.05,70.99248120300753,70.99419448476053,75.79451406626137,75.76857430431788
67,26,sigmoid,0.01,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
68,26,sigmoid,0.005,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
69,26,sigmoid,0.001,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
70,26,linear,1.0,83.39667350193668,77.46734397677794,85.09941396983048,79.34429932950596
71,26,linear,0.5,82.82433356117565,77.09724238026125,84.59440817138398,79.20357685711001
72,26,linear,0.1,80.82023239917977,77.86647314949201,83.01837364365525,80.35206530190028
73,26,linear,0.05,79.10594668489406,77.11175616835995,81.82455981905142,80.47369452984252
74,26,linear,0.01,75.38118022328548,74.81132075471699,79.26649559636665,78.86349182581107
75,26,linear,0.005,74.80884028252449,74.4267053701016,78.85167920352698,78.60555531787456
76,26,linear,0.001,72.23786739576215,72.50362844702467,76.53251017557588,76.74723458163392
77,26,poly,1.0,65.36295283663705,62.22060957910014,74.28516322905774,72.13819146764646
78,26,poly,0.5,63.45500113921167,61.835994194484755,73.23729432752066,72.10548753083292
79,26,poly,0.1,60.594668489405336,58.39622641509435,71.7434102134792,70.45719552020515
80,26,poly,0.05,61.45682387787651,58.76632801161102,72.22095745034929,70.48376657575963
81,26,poly,0.01,54.292549555707446,51.153846153846146,35.232198448729704,31.20473597787572
82,26,poly,0.005,54.2036910457963,53.02612481857765,49.11923910521237,50.33026473188745
83,26,poly,0.001,51.14467988152198,50.75471698113208,67.17962810332062,67.0064935064935
84,25,rbf,1.0,85.59079516974253,79.36139332365747,87.06393682915161,80.94706087505257
85,25,rbf,0.5,84.82797903850535,77.84470246734398,86.34279175861327,79.74591471226502
86,25,rbf,0.1,77.29004329004329,75.96516690856315,80.28951664789228,79.3398237826204
87,25,rbf,0.05,74.99886078833448,73.66473149492018,78.83913713735227,77.92429792429793
88,25,rbf,0.01,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
89,25,rbf,0.005,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
90,25,rbf,0.001,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
91,25,sigmoid,1.0,75.57439052175894,75.22496371552975,78.5097530800415,77.97016583752566
92,25,sigmoid,0.5,73.28275233538392,73.29462989840349,76.90494819369411,76.7853456069481
93,25,sigmoid,0.1,71.56482114376853,70.60957910014514,76.16075854879408,75.53047906622264
94,25,sigmoid,0.05,70.99248120300753,70.99419448476053,75.79451406626137,75.76857430431788
95,25,sigmoid,0.01,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
96,25,sigmoid,0.005,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
97,25,sigmoid,0.001,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
98,25,linear,1.0,83.39667350193668,77.46734397677794,85.09941396983048,79.34429932950596
99,25,linear,0.5,82.82433356117565,77.09724238026125,84.59440817138398,79.20357685711001
100,25,linear,0.1,80.82023239917977,77.86647314949201,83.01837364365525,80.35206530190028
101,25,linear,0.05,79.10594668489406,77.11175616835995,81.82455981905142,80.47369452984252
102,25,linear,0.01,75.38118022328548,74.81132075471699,79.26649559636665,78.86349182581107
103,25,linear,0.005,74.80884028252449,74.4267053701016,78.85167920352698,78.60555531787456
104,25,linear,0.001,72.23786739576215,72.50362844702467,76.53251017557588,76.74723458163392
105,25,poly,1.0,65.36295283663705,62.22060957910014,74.28516322905774,72.13819146764646
106,25,poly,0.5,63.45500113921167,61.835994194484755,73.23729432752066,72.10548753083292
107,25,poly,0.1,60.594668489405336,58.39622641509435,71.7434102134792,70.45719552020515
108,25,poly,0.05,61.45682387787651,58.76632801161102,72.22095745034929,70.48376657575963
109,25,poly,0.01,54.292549555707446,51.153846153846146,35.232198448729704,31.20473597787572
110,25,poly,0.005,54.2036910457963,53.02612481857765,49.11923910521237,50.33026473188745
111,25,poly,0.001,51.14467988152198,50.75471698113208,67.17962810332062,67.0064935064935
112,24,rbf,1.0,85.59079516974253,79.36139332365747,87.06393682915161,80.94706087505257
113,24,rbf,0.5,84.82797903850535,77.84470246734398,86.34279175861327,79.74591471226502
114,24,rbf,0.1,77.29004329004329,75.96516690856315,80.28951664789228,79.3398237826204
115,24,rbf,0.05,74.99886078833448,73.66473149492018,78.83913713735227,77.92429792429793
116,24,rbf,0.01,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
117,24,rbf,0.005,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
118,24,rbf,0.001,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
119,24,sigmoid,1.0,75.57439052175894,75.22496371552975,78.5097530800415,77.97016583752566
120,24,sigmoid,0.5,73.28275233538392,73.29462989840349,76.90494819369411,76.7853456069481
121,24,sigmoid,0.1,71.56482114376853,70.60957910014514,76.16075854879408,75.53047906622264
122,24,sigmoid,0.05,70.99248120300753,70.99419448476053,75.79451406626137,75.76857430431788
123,24,sigmoid,0.01,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
124,24,sigmoid,0.005,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
125,24,sigmoid,0.001,62.76236044657097,62.314949201741655,58.853891416439176,58.86636187753991
126,24,linear,1.0,83.39667350193668,77.46734397677794,85.09941396983048,79.34429932950596
127,24,linear,0.5,82.82433356117565,77.09724238026125,84.59440817138398,79.20357685711001
128,24,linear,0.1,80.82023239917977,77.86647314949201,83.01837364365525,80.35206530190028
129,24,linear,0.05,79.10594668489406,77.11175616835995,81.82455981905142,80.47369452984252
130,24,linear,0.01,75.38118022328548,74.81132075471699,79.26649559636665,78.86349182581107
131,24,linear,0.005,74.80884028252449,74.4267053701016,78.85167920352698,78.60555531787456
132,24,linear,0.001,72.23786739576215,72.50362844702467,76.53251017557588,76.74723458163392
133,24,poly,1.0,65.36295283663705,62.22060957910014,74.28516322905774,72.13819146764646
134,24,poly,0.5,63.45500113921167,61.835994194484755,73.23729432752066,72.10548753083292
135,24,poly,0.1,60.594668489405336,58.39622641509435,71.7434102134792,70.45719552020515
136,24,poly,0.05,61.45682387787651,58.76632801161102,72.22095745034929,70.48376657575963
137,24,poly,0.01,54.292549555707446,51.153846153846146,35.232198448729704,31.20473597787572
138,24,poly,0.005,54.2036910457963,53.02612481857765,49.11923910521237,50.33026473188745
139,24,poly,0.001,51.14467988152198,50.75471698113208,67.17962810332062,67.0064935064935
140,23,rbf,1.0,85.59079516974253,79.36139332365747,87.06393682915161,80.94706087505257
141,23,rbf,0.5,84.82797903850535,77.84470246734398,86.34279175861327,79.74591471226502
142,23,rbf,0.1,77.29004329004329,75.96516690856315,80.28951664789228,79.3398237826204
143,23,rbf,0.05,74.99886078833448,73.66473149492018,78.83913713735227,77.92429792429793
144,23,rbf,0.01,64.85759854180907,63.08417997097242,60.296279659319566,59.315094596433916
