SIM,PCA_comp,Kernel,C,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,28,rbf,1.0,63.311918189249106,62.203965385036696,51.31742498595398,48.71509446795666
1,28,rbf,0.5,62.3879110776571,62.03636761967357,44.78901872986456,44.01640958843503
2,28,rbf,0.1,60.19029585242074,60.188880021282266,37.07671341299238,36.95336841144431
3,28,rbf,0.05,60.19029585242074,60.188880021282266,37.04914449068662,36.95336841144431
4,28,rbf,0.01,58.37048885334399,58.28537001392735,43.05783556979576,42.991255412397386
5,28,rbf,0.005,51.456563031090674,52.010860210005795,33.794893951296146,35.291521225087266
6,28,rbf,0.001,51.456563031090674,52.010860210005795,33.794893951296146,35.291521225087266
7,28,sigmoid,1.0,56.57884987444943,56.49327887579613,62.61679093010392,62.55605216619963
8,28,sigmoid,0.5,56.620739268415555,56.773390920614055,63.20239789539135,63.401616286288046
9,28,sigmoid,0.1,58.88879414606991,59.067649406131174,44.620882354969694,43.959015954056426
10,28,sigmoid,0.05,58.846659727571925,58.732453875404914,44.32714751202422,43.22988004557084
11,28,sigmoid,0.01,58.48255327323372,58.67877877407947,66.60991618422531,66.73277846955187
12,28,sigmoid,0.005,58.04877164301689,57.95048745755286,66.56120761479818,66.48966810955191
13,28,sigmoid,0.001,51.72266947366771,51.56393283570411,40.0865530601578,40.067371880456
14,28,linear,1.0,59.5043349740176,59.01303538175047,36.449599911271605,35.73842084029615
15,28,linear,0.5,59.42036996744113,59.23712501760481,35.98757783692439,35.8552205530437
16,28,linear,0.1,59.67229439011433,59.57325947138632,36.10442453097454,36.03332735990964
17,28,linear,0.05,59.7983448102824,59.684991314961735,36.17356033344368,36.006525961890766
18,28,linear,0.01,59.364239747683534,59.517550036774495,36.93763284707204,37.018834543066944
19,28,linear,0.005,58.27251824452665,58.28521352675148,37.73332143389848,37.58410195100126
20,28,linear,0.001,58.63664430082739,58.45437616387337,67.3489703996775,67.20604045682165
21,28,poly,1.0,62.0379572402789,61.08445612882025,43.9099379127632,42.45977165262661
22,28,poly,0.5,61.80000901690278,60.86052298014179,43.294354639921664,41.6304892985497
23,28,poly,0.1,60.82014611302884,59.96510335977967,39.60082702303724,38.37952223024449
24,28,poly,0.05,60.330234263054415,60.020656307215624,37.56933149120177,37.07394321127241
25,28,poly,0.01,52.26767263938466,51.904605417586026,66.29789231381949,66.03887056706455
26,28,poly,0.005,52.32365584442314,52.072359670125024,66.64693156499742,66.35530213062036
27,28,poly,0.001,52.12769502482588,51.95984539067023,67.55854575675984,67.45195607089927
28,27,rbf,1.0,63.311918189249106,62.203965385036696,51.31742498595398,48.71509446795666
29,27,rbf,0.5,62.3879110776571,62.03636761967357,44.78901872986456,44.01640958843503
30,27,rbf,0.1,60.19029585242074,60.188880021282266,37.07671341299238,36.95336841144431
31,27,rbf,0.05,60.19029585242074,60.188880021282266,37.04914449068662,36.95336841144431
32,27,rbf,0.01,58.37048885334399,58.28537001392735,43.05783556979576,42.991255412397386
33,27,rbf,0.005,51.456563031090674,52.010860210005795,33.794893951296146,35.291521225087266
34,27,rbf,0.001,51.456563031090674,52.010860210005795,33.794893951296146,35.291521225087266
35,27,sigmoid,1.0,56.57884987444943,56.49327887579613,62.61679093010392,62.55605216619963
36,27,sigmoid,0.5,56.620739268415555,56.773390920614055,63.20239789539135,63.401616286288046
37,27,sigmoid,0.1,58.88879414606991,59.067649406131174,44.620882354969694,43.959015954056426
38,27,sigmoid,0.05,58.846659727571925,58.732453875404914,44.32714751202422,43.22988004557084
39,27,sigmoid,0.01,58.48255327323372,58.67877877407947,66.60991618422531,66.73277846955187
40,27,sigmoid,0.005,58.04877164301689,57.95048745755286,66.56120761479818,66.48966810955191
41,27,sigmoid,0.001,51.72266947366771,51.56393283570411,40.0865530601578,40.067371880456
42,27,linear,1.0,59.5043349740176,59.01303538175047,36.449599911271605,35.73842084029615
43,27,linear,0.5,59.42036996744113,59.23712501760481,35.98757783692439,35.8552205530437
44,27,linear,0.1,59.67229439011433,59.57325947138632,36.10442453097454,36.03332735990964
45,27,linear,0.05,59.7983448102824,59.684991314961735,36.17356033344368,36.006525961890766
46,27,linear,0.01,59.364239747683534,59.517550036774495,36.93763284707204,37.018834543066944
