SIM,PCA_comp,Kernel,C,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,28,rbf,1.0,86.53330974077677,86.24085969377448,86.6227990806568,86.31823559318073
1,28,rbf,0.5,85.63385194828173,85.16139457843494,85.92082828846586,85.44908547809872
2,28,rbf,0.1,82.82364985275717,81.74201106936533,82.41814110889291,81.27327826307592
3,28,rbf,0.05,81.1823409714235,81.29236860178564,80.23107435355108,80.24499533170155
4,28,rbf,0.01,80.93504884923092,80.93200824142528,79.88058202836937,79.79724327594643
5,28,rbf,0.005,75.9227259513909,74.36270351068556,71.6503168043198,69.43008607202785
6,28,rbf,0.001,64.71912640133468,62.79319678422818,55.23617336592459,52.331243523183815
7,28,sigmoid,1.0,83.04912728605555,81.5590029491375,83.2242415505928,81.56441523846624
8,28,sigmoid,0.5,82.6437481831625,81.82927321940777,82.62350622784479,81.63714157303534
9,28,sigmoid,0.1,82.84591954095625,82.91075829192422,81.54280459632844,81.50046007078032
10,28,sigmoid,0.05,83.00339985591687,82.91075829192422,81.69828018671902,81.4629735875411
11,28,sigmoid,0.01,75.35936097875407,75.4425726174605,69.92787672675718,69.80486900615995
12,28,sigmoid,0.005,75.49431882812401,75.62558073768837,69.345627233008,69.33552212639466
13,28,sigmoid,0.001,65.61800280582905,64.4148184058498,55.47592409781637,53.30490158891688
14,28,linear,1.0,85.25188003184996,83.90013331717367,85.24014225701299,83.59208039982767
15,28,linear,0.5,84.57772272847916,82.72896214600249,84.26943315053818,82.22707165995796
16,28,linear,0.1,83.9699700458791,82.73057811174404,83.33013136468456,81.9845568632511
17,28,linear,0.05,82.5536583207998,82.37021775138366,81.31702462213305,80.99695417006538
18,28,linear,0.01,83.09331277410547,83.00044439057892,81.77746979262052,81.57984792348238
19,28,linear,0.005,83.09331277410547,83.00044439057892,81.77746979262052,81.57984792348238
20,28,linear,0.001,75.44929917468181,75.44459257463741,69.70301582648047,69.48004938517668
21,28,poly,1.0,83.2283464566929,82.46273179008605,81.68454309371243,80.7609338657399
22,28,poly,0.5,81.6319055623665,81.29398456752718,79.1201602123334,78.69629394212264
23,28,poly,0.1,73.92055206582324,73.55593261422858,65.73269911970063,64.87557794271632
24,28,poly,0.05,73.40344535584737,73.46665050700925,64.83059509393293,64.8003632391275
25,28,poly,0.01,69.55930789550183,69.33220215731427,56.903226103614536,56.39797664743109
26,28,poly,0.005,56.11519065734761,56.02230032723307,22.09834211508476,22.015111343057974
27,28,poly,0.001,51.70862350071409,51.70767179735789,6.601580242613273,6.877212381611162
28,27,rbf,1.0,86.53330974077677,86.24085969377448,86.6227990806568,86.31823559318073
29,27,rbf,0.5,85.63385194828173,85.16139457843494,85.92082828846586,85.44908547809872
30,27,rbf,0.1,82.82364985275717,81.74201106936533,82.41814110889291,81.27327826307592
31,27,rbf,0.05,81.1823409714235,81.29236860178564,80.23107435355108,80.24499533170155
32,27,rbf,0.01,80.93504884923092,80.93200824142528,79.88058202836937,79.79724327594643
33,27,rbf,0.005,75.9227259513909,74.36270351068556,71.6503168043198,69.43008607202785
34,27,rbf,0.001,64.71912640133468,62.79319678422818,55.23617336592459,52.331243523183815
35,27,sigmoid,1.0,83.04912728605555,81.5590029491375,83.2242415505928,81.56441523846624
36,27,sigmoid,0.5,82.6437481831625,81.82927321940777,82.62350622784479,81.63714157303534
37,27,sigmoid,0.1,82.84591954095625,82.91075829192422,81.54280459632844,81.50046007078032
38,27,sigmoid,0.05,83.00339985591687,82.91075829192422,81.69828018671902,81.4629735875411
39,27,sigmoid,0.01,75.35936097875407,75.4425726174605,69.92787672675718,69.80486900615995
40,27,sigmoid,0.005,75.49431882812401,75.62558073768837,69.345627233008,69.33552212639466
41,27,sigmoid,0.001,65.61800280582905,64.4148184058498,55.47592409781637,53.30490158891688
42,27,linear,1.0,85.25188003184996,83.90013331717367,85.24014225701299,83.59208039982767
43,27,linear,0.5,84.57772272847916,82.72896214600249,84.26943315053818,82.22707165995796
44,27,linear,0.1,83.9699700458791,82.73057811174404,83.33013136468456,81.9845568632511
45,27,linear,0.05,82.5536583207998,82.37021775138366,81.31702462213305,80.99695417006538
46,27,linear,0.01,83.09331277410547,83.00044439057892,81.77746979262052,81.57984792348238
47,27,linear,0.005,83.09331277410547,83.00044439057892,81.77746979262052,81.57984792348238
48,27,linear,0.001,75.44929917468181,75.44459257463741,69.70301582648047,69.48004938517668
49,27,poly,1.0,83.2283464566929,82.46273179008605,81.68454309371243,80.7609338657399
50,27,poly,0.5,81.6319055623665,81.29398456752718,79.1201602123334,78.69629394212264
51,27,poly,0.1,73.92055206582324,73.55593261422858,65.73269911970063,64.87557794271632
52,27,poly,0.05,73.40344535584737,73.46665050700925,64.83059509393293,64.8003632391275
53,27,poly,0.01,69.55930789550183,69.33220215731427,56.903226103614536,56.39797664743109
54,27,poly,0.005,56.11519065734761,56.02230032723307,22.09834211508476,22.015111343057974
55,27,poly,0.001,51.70862350071409,51.70767179735789,6.601580242613273,6.877212381611162
56,26,rbf,1.0,86.53330974077677,86.24085969377448,86.6227990806568,86.31823559318073
57,26,rbf,0.5,85.63385194828173,85.16139457843494,85.92082828846586,85.44908547809872
58,26,rbf,0.1,82.82364985275717,81.74201106936533,82.41814110889291,81.27327826307592
59,26,rbf,0.05,81.1823409714235,81.29236860178564,80.23107435355108,80.24499533170155
60,26,rbf,0.01,80.93504884923092,80.93200824142528,79.88058202836937,79.79724327594643
61,26,rbf,0.005,75.9227259513909,74.36270351068556,71.6503168043198,69.43008607202785
62,26,rbf,0.001,64.71912640133468,62.79319678422818,55.23617336592459,52.331243523183815
63,26,sigmoid,1.0,83.04912728605555,81.5590029491375,83.2242415505928,81.56441523846624
64,26,sigmoid,0.5,82.6437481831625,81.82927321940777,82.62350622784479,81.63714157303534
65,26,sigmoid,0.1,82.84591954095625,82.91075829192422,81.54280459632844,81.50046007078032
66,26,sigmoid,0.05,83.00339985591687,82.91075829192422,81.69828018671902,81.4629735875411
67,26,sigmoid,0.01,75.35936097875407,75.4425726174605,69.92787672675718,69.80486900615995
68,26,sigmoid,0.005,75.49431882812401,75.62558073768837,69.345627233008,69.33552212639466
69,26,sigmoid,0.001,65.61800280582905,64.4148184058498,55.47592409781637,53.30490158891688
70,26,linear,1.0,85.25188003184996,83.90013331717367,85.24014225701299,83.59208039982767
71,26,linear,0.5,84.57772272847916,82.72896214600249,84.26943315053818,82.22707165995796
72,26,linear,0.1,83.9699700458791,82.73057811174404,83.33013136468456,81.9845568632511
73,26,linear,0.05,82.5536583207998,82.37021775138366,81.31702462213305,80.99695417006538
74,26,linear,0.01,83.09331277410547,83.00044439057892,81.77746979262052,81.57984792348238
75,26,linear,0.005,83.09331277410547,83.00044439057892,81.77746979262052,81.57984792348238
76,26,linear,0.001,75.44929917468181,75.44459257463741,69.70301582648047,69.48004938517668
77,26,poly,1.0,83.2283464566929,82.46273179008605,81.68454309371243,80.7609338657399
78,26,poly,0.5,81.6319055623665,81.29398456752718,79.1201602123334,78.69629394212264
79,26,poly,0.1,73.92055206582324,73.55593261422858,65.73269911970063,64.87557794271632
80,26,poly,0.05,73.40344535584737,73.46665050700925,64.83059509393293,64.8003632391275
81,26,poly,0.01,69.55930789550183,69.33220215731427,56.903226103614536,56.39797664743109
82,26,poly,0.005,56.11519065734761,56.02230032723307,22.09834211508476,22.015111343057974
83,26,poly,0.001,51.70862350071409,51.70767179735789,6.601580242613273,6.877212381611162
84,25,rbf,1.0,86.53330974077677,86.24085969377448,86.6227990806568,86.31823559318073
85,25,rbf,0.5,85.63385194828173,85.16139457843494,85.92082828846586,85.44908547809872
86,25,rbf,0.1,82.82364985275717,81.74201106936533,82.41814110889291,81.27327826307592
87,25,rbf,0.05,81.1823409714235,81.29236860178564,80.23107435355108,80.24499533170155
88,25,rbf,0.01,80.93504884923092,80.93200824142528,79.88058202836937,79.79724327594643
89,25,rbf,0.005,75.9227259513909,74.36270351068556,71.6503168043198,69.43008607202785
90,25,rbf,0.001,64.71912640133468,62.79319678422818,55.23617336592459,52.331243523183815
91,25,sigmoid,1.0,83.04912728605555,81.5590029491375,83.2242415505928,81.56441523846624
92,25,sigmoid,0.5,82.6437481831625,81.82927321940777,82.62350622784479,81.63714157303534
93,25,sigmoid,0.1,82.84591954095625,82.91075829192422,81.54280459632844,81.50046007078032
94,25,sigmoid,0.05,83.00339985591687,82.91075829192422,81.69828018671902,81.4629735875411
95,25,sigmoid,0.01,75.35936097875407,75.4425726174605,69.92787672675718,69.80486900615995
96,25,sigmoid,0.005,75.49431882812401,75.62558073768837,69.345627233008,69.33552212639466
97,25,sigmoid,0.001,65.61800280582905,64.4148184058498,55.47592409781637,53.30490158891688
98,25,linear,1.0,85.25188003184996,83.90013331717367,85.24014225701299,83.59208039982767
99,25,linear,0.5,84.57772272847916,82.72896214600249,84.26943315053818,82.22707165995796
100,25,linear,0.1,83.9699700458791,82.73057811174404,83.33013136468456,81.9845568632511
101,25,linear,0.05,82.5536583207998,82.37021775138366,81.31702462213305,80.99695417006538
102,25,linear,0.01,83.09331277410547,83.00044439057892,81.77746979262052,81.57984792348238
103,25,linear,0.005,83.09331277410547,83.00044439057892,81.77746979262052,81.57984792348238
104,25,linear,0.001,75.44929917468181,75.44459257463741,69.70301582648047,69.48004938517668
105,25,poly,1.0,83.2283464566929,82.46273179008605,81.68454309371243,80.7609338657399
106,25,poly,0.5,81.6319055623665,81.29398456752718,79.1201602123334,78.69629394212264
107,25,poly,0.1,73.92055206582324,73.55593261422858,65.73269911970063,64.87557794271632
108,25,poly,0.05,73.40344535584737,73.46665050700925,64.83059509393293,64.8003632391275
109,25,poly,0.01,69.55930789550183,69.33220215731427,56.903226103614536,56.39797664743109
110,25,poly,0.005,56.11519065734761,56.02230032723307,22.09834211508476,22.015111343057974
111,25,poly,0.001,51.70862350071409,51.70767179735789,6.601580242613273,6.877212381611162
112,24,rbf,1.0,86.53330974077677,86.24085969377448,86.6227990806568,86.31823559318073
113,24,rbf,0.5,85.63385194828173,85.16139457843494,85.92082828846586,85.44908547809872
114,24,rbf,0.1,82.82364985275717,81.74201106936533,82.41814110889291,81.27327826307592
115,24,rbf,0.05,81.1823409714235,81.29236860178564,80.23107435355108,80.24499533170155
116,24,rbf,0.01,80.93504884923092,80.93200824142528,79.88058202836937,79.79724327594643
117,24,rbf,0.005,75.9227259513909,74.36270351068556,71.6503168043198,69.43008607202785
118,24,rbf,0.001,64.71912640133468,62.79319678422818,55.23617336592459,52.331243523183815
119,24,sigmoid,1.0,83.04912728605555,81.5590029491375,83.2242415505928,81.56441523846624
120,24,sigmoid,0.5,82.6437481831625,81.82927321940777,82.62350622784479,81.63714157303534
121,24,sigmoid,0.1,82.84591954095625,82.91075829192422,81.54280459632844,81.50046007078032
122,24,sigmoid,0.05,83.00339985591687,82.91075829192422,81.69828018671902,81.4629735875411
123,24,sigmoid,0.01,75.35936097875407,75.4425726174605,69.92787672675718,69.80486900615995
124,24,sigmoid,0.005,75.49431882812401,75.62558073768837,69.345627233008,69.33552212639466
125,24,sigmoid,0.001,65.61800280582905,64.4148184058498,55.47592409781637,53.30490158891688
126,24,linear,1.0,85.25188003184996,83.90013331717367,85.24014225701299,83.59208039982767
127,24,linear,0.5,84.57772272847916,82.72896214600249,84.26943315053818,82.22707165995796
128,24,linear,0.1,83.9699700458791,82.73057811174404,83.33013136468456,81.9845568632511
129,24,linear,0.05,82.5536583207998,82.37021775138366,81.31702462213305,80.99695417006538
130,24,linear,0.01,83.09331277410547,83.00044439057892,81.77746979262052,81.57984792348238
131,24,linear,0.005,83.09331277410547,83.00044439057892,81.77746979262052,81.57984792348238
132,24,linear,0.001,75.44929917468181,75.44459257463741,69.70301582648047,69.48004938517668
133,24,poly,1.0,83.2283464566929,82.46273179008605,81.68454309371243,80.7609338657399
134,24,poly,0.5,81.6319055623665,81.29398456752718,79.1201602123334,78.69629394212264
135,24,poly,0.1,73.92055206582324,73.55593261422858,65.73269911970063,64.87557794271632
136,24,poly,0.05,73.40344535584737,73.46665050700925,64.83059509393293,64.8003632391275
137,24,poly,0.01,69.55930789550183,69.33220215731427,56.903226103614536,56.39797664743109
138,24,poly,0.005,56.11519065734761,56.02230032723307,22.09834211508476,22.015111343057974
139,24,poly,0.001,51.70862350071409,51.70767179735789,6.601580242613273,6.877212381611162
140,23,rbf,1.0,86.53330974077677,86.24085969377448,86.6227990806568,86.31823559318073
141,23,rbf,0.5,85.63385194828173,85.16139457843494,85.92082828846586,85.44908547809872
142,23,rbf,0.1,82.82364985275717,81.74201106936533,82.41814110889291,81.27327826307592
143,23,rbf,0.05,81.1823409714235,81.29236860178564,80.23107435355108,80.24499533170155
144,23,rbf,0.01,80.93504884923092,80.93200824142528,79.88058202836937,79.79724327594643
145,23,rbf,0.005,75.9227259513909,74.36270351068556,71.6503168043198,69.43008607202785
146,23,rbf,0.001,64.71912640133468,62.79319678422818,55.23617336592459,52.331243523183815
147,23,sigmoid,1.0,83.04912728605555,81.5590029491375,83.2242415505928,81.56441523846624
148,23,sigmoid,0.5,82.6437481831625,81.82927321940777,82.62350622784479,81.63714157303534
149,23,sigmoid,0.1,82.84591954095625,82.91075829192422,81.54280459632844,81.50046007078032
150,23,sigmoid,0.05,83.00339985591687,82.91075829192422,81.69828018671902,81.4629735875411
151,23,sigmoid,0.01,75.35936097875407,75.4425726174605,69.92787672675718,69.80486900615995
152,23,sigmoid,0.005,75.49431882812401,75.62558073768837,69.345627233008,69.33552212639466
153,23,sigmoid,0.001,65.61800280582905,64.4148184058498,55.47592409781637,53.30490158891688
154,23,linear,1.0,85.25188003184996,83.90013331717367,85.24014225701299,83.59208039982767
155,23,linear,0.5,84.57772272847916,82.72896214600249,84.26943315053818,82.22707165995796
156,23,linear,0.1,83.9699700458791,82.73057811174404,83.33013136468456,81.9845568632511
157,23,linear,0.05,82.5536583207998,82.37021775138366,81.31702462213305,80.99695417006538
158,23,linear,0.01,83.09331277410547,83.00044439057892,81.77746979262052,81.57984792348238
159,23,linear,0.005,83.09331277410547,83.00044439057892,81.77746979262052,81.57984792348238
160,23,linear,0.001,75.44929917468181,75.44459257463741,69.70301582648047,69.48004938517668
161,23,poly,1.0,83.2283464566929,82.46273179008605,81.68454309371243,80.7609338657399
162,23,poly,0.5,81.6319055623665,81.29398456752718,79.1201602123334,78.69629394212264
163,23,poly,0.1,73.92055206582324,73.55593261422858,65.73269911970063,64.87557794271632
164,23,poly,0.05,73.40344535584737,73.46665050700925,64.83059509393293,64.8003632391275
165,23,poly,0.01,69.55930789550183,69.33220215731427,56.903226103614536,56.39797664743109
166,23,poly,0.005,56.11519065734761,56.02230032723307,22.09834211508476,22.015111343057974
167,23,poly,0.001,51.70862350071409,51.70767179735789,6.601580242613273,6.877212381611162
168,22,rbf,1.0,86.53330974077677,86.24085969377448,86.6227990806568,86.31823559318073
169,22,rbf,0.5,85.63385194828173,85.16139457843494,85.92082828846586,85.44908547809872
170,22,rbf,0.1,82.82364985275717,81.74201106936533,82.41814110889291,81.27327826307592
171,22,rbf,0.05,81.1823409714235,81.29236860178564,80.23107435355108,80.24499533170155
172,22,rbf,0.01,80.93504884923092,80.93200824142528,79.88058202836937,79.79724327594643
173,22,rbf,0.005,75.9227259513909,74.36270351068556,71.6503168043198,69.43008607202785
174,22,rbf,0.001,64.71912640133468,62.79319678422818,55.23617336592459,52.331243523183815
175,22,sigmoid,1.0,83.04912728605555,81.5590029491375,83.2242415505928,81.56441523846624
176,22,sigmoid,0.5,82.6437481831625,81.82927321940777,82.62350622784479,81.63714157303534
177,22,sigmoid,0.1,82.84591954095625,82.91075829192422,81.54280459632844,81.50046007078032
178,22,sigmoid,0.05,83.00339985591687,82.91075829192422,81.69828018671902,81.4629735875411
179,22,sigmoid,0.01,75.35936097875407,75.4425726174605,69.92787672675718,69.80486900615995
180,22,sigmoid,0.005,75.49431882812401,75.62558073768837,69.345627233008,69.33552212639466
181,22,sigmoid,0.001,65.61800280582905,64.4148184058498,55.47592409781637,53.30490158891688
