SIM,PCA_comp,Kernel,C,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,28,rbf,1.0,69.06424337407262,67.53322829556015,69.05293726862539,67.3786923389829
1,28,rbf,0.5,68.0976226286321,66.81573950632246,67.66296808411771,66.11290532724435
2,28,rbf,0.1,65.28752164406416,64.11909667515047,65.65091285443877,64.23511694609407
3,28,rbf,0.05,65.08471834279142,64.11909667515049,66.05934989446118,64.87266326235412
4,28,rbf,0.01,60.45105597755336,58.8251929059104,57.398676198725894,55.353386751649495
5,28,rbf,0.005,59.03373314290769,57.92833191936331,52.909355828397544,52.11509935251926
6,28,rbf,0.001,59.03373314290769,57.92833191936331,52.909355828397544,52.11509935251926
7,28,sigmoid,1.0,60.634319586456186,59.61863208499979,60.40642515487485,59.40030714729809
8,28,sigmoid,0.5,60.36430277675965,60.51912899446531,58.73973007200466,59.14481701444003
9,28,sigmoid,0.1,64.07358349869187,63.488870035955244,63.174897014483896,62.3848179388643
10,28,sigmoid,0.05,63.084313898964886,62.770573263846806,61.47080248136013,60.59833947243393
11,28,sigmoid,0.01,57.777328395748285,58.28263240819294,41.573950181906554,42.812059141999015
12,28,sigmoid,0.005,55.9775533676268,56.937340928372315,37.30758613970977,39.96753375505805
13,28,sigmoid,0.001,55.9775533676268,56.937340928372315,37.30758613970977,39.96753375505805
14,28,linear,1.0,65.46734748044135,64.83981739587121,64.79826536412673,63.93627427030517
15,28,linear,0.5,65.08499639792215,64.7501312972165,64.08773986347447,63.53077340151925
16,28,linear,0.1,64.47805260297518,63.220215731426485,62.808618243551976,61.41925412622486
17,28,linear,0.05,64.16339530592386,63.49008201026138,62.15698344950452,61.33720483456781
18,28,linear,0.01,64.63543180697918,64.03021855936653,63.45905661234011,62.440460756411994
19,28,linear,0.005,63.488884114204836,63.40120389447744,61.63915492970865,61.0672584628434
20,28,linear,0.001,55.3505137700484,54.9452591605058,64.78613658703286,64.05962999529457
21,28,poly,1.0,66.20945134667154,64.66044519856179,64.26929051211366,62.3621058480514
22,28,poly,0.5,65.89484460509853,64.65923322425564,63.86451195583896,62.160852986070566
23,28,poly,0.1,61.98301335928515,61.152991556578996,42.56818801321118,40.78417472498505
24,28,poly,0.05,61.24103588175075,60.61366299034461,40.29191350534519,39.33473859348726
25,28,poly,0.01,51.528848219815224,51.34973538560982,67.32348724993162,67.23295721136914
26,28,poly,0.005,51.46138193399983,51.16995919686502,67.32260686169151,67.19169572996411
27,28,poly,0.001,50.87683421594773,50.90009291803014,67.05870284972761,67.07048360875197
28,27,rbf,1.0,69.06424337407262,67.53322829556015,69.05293726862539,67.3786923389829
29,27,rbf,0.5,68.0976226286321,66.81573950632246,67.66296808411771,66.11290532724435
30,27,rbf,0.1,65.28752164406416,64.11909667515047,65.65091285443877,64.23511694609407
31,27,rbf,0.05,65.08471834279142,64.11909667515049,66.05934989446118,64.87266326235412
32,27,rbf,0.01,60.45105597755336,58.8251929059104,57.398676198725894,55.353386751649495
33,27,rbf,0.005,59.03373314290769,57.92833191936331,52.909355828397544,52.11509935251926
34,27,rbf,0.001,59.03373314290769,57.92833191936331,52.909355828397544,52.11509935251926
35,27,sigmoid,1.0,60.634319586456186,59.61863208499979,60.40642515487485,59.40030714729809
36,27,sigmoid,0.5,60.36430277675965,60.51912899446531,58.73973007200466,59.14481701444003
37,27,sigmoid,0.1,64.07358349869187,63.488870035955244,63.174897014483896,62.3848179388643
38,27,sigmoid,0.05,63.084313898964886,62.770573263846806,61.47080248136013,60.59833947243393
39,27,sigmoid,0.01,57.777328395748285,58.28263240819294,41.573950181906554,42.812059141999015
40,27,sigmoid,0.005,55.9775533676268,56.937340928372315,37.30758613970977,39.96753375505805
41,27,sigmoid,0.001,55.9775533676268,56.937340928372315,37.30758613970977,39.96753375505805
42,27,linear,1.0,65.46734748044135,64.83981739587121,64.79826536412673,63.93627427030517
43,27,linear,0.5,65.08499639792215,64.7501312972165,64.08773986347447,63.53077340151925
44,27,linear,0.1,64.47805260297518,63.220215731426485,62.808618243551976,61.41925412622486
45,27,linear,0.05,64.16339530592386,63.49008201026138,62.15698344950452,61.33720483456781
46,27,linear,0.01,64.63543180697918,64.03021855936653,63.45905661234011,62.440460756411994
47,27,linear,0.005,63.488884114204836,63.40120389447744,61.63915492970865,61.0672584628434
48,27,linear,0.001,55.3505137700484,54.9452591605058,64.78613658703286,64.05962999529457
49,27,poly,1.0,66.20945134667154,64.66044519856179,64.26929051211366,62.3621058480514
50,27,poly,0.5,65.89484460509853,64.65923322425564,63.86451195583896,62.160852986070566
51,27,poly,0.1,61.98301335928515,61.152991556578996,42.56818801321118,40.78417472498505
52,27,poly,0.05,61.24103588175075,60.61366299034461,40.29191350534519,39.33473859348726
53,27,poly,0.01,51.528848219815224,51.34973538560982,67.32348724993162,67.23295721136914
54,27,poly,0.005,51.46138193399983,51.16995919686502,67.32260686169151,67.19169572996411
55,27,poly,0.001,50.87683421594773,50.90009291803014,67.05870284972761,67.07048360875197
56,26,rbf,1.0,69.06424337407262,67.53322829556015,69.05293726862539,67.3786923389829
57,26,rbf,0.5,68.0976226286321,66.81573950632246,67.66296808411771,66.11290532724435
58,26,rbf,0.1,65.28752164406416,64.11909667515047,65.65091285443877,64.23511694609407
59,26,rbf,0.05,65.08471834279142,64.11909667515049,66.05934989446118,64.87266326235412
60,26,rbf,0.01,60.45105597755336,58.8251929059104,57.398676198725894,55.353386751649495
61,26,rbf,0.005,59.03373314290769,57.92833191936331,52.909355828397544,52.11509935251926
62,26,rbf,0.001,59.03373314290769,57.92833191936331,52.909355828397544,52.11509935251926
63,26,sigmoid,1.0,60.634319586456186,59.61863208499979,60.40642515487485,59.40030714729809
64,26,sigmoid,0.5,60.36430277675965,60.51912899446531,58.73973007200466,59.14481701444003
65,26,sigmoid,0.1,64.07358349869187,63.488870035955244,63.174897014483896,62.3848179388643
66,26,sigmoid,0.05,63.084313898964886,62.770573263846806,61.47080248136013,60.59833947243393
67,26,sigmoid,0.01,57.777328395748285,58.28263240819294,41.573950181906554,42.812059141999015
68,26,sigmoid,0.005,55.9775533676268,56.937340928372315,37.30758613970977,39.96753375505805
69,26,sigmoid,0.001,55.9775533676268,56.937340928372315,37.30758613970977,39.96753375505805
70,26,linear,1.0,65.46734748044135,64.83981739587121,64.79826536412673,63.93627427030517
71,26,linear,0.5,65.08499639792215,64.7501312972165,64.08773986347447,63.53077340151925
72,26,linear,0.1,64.47805260297518,63.220215731426485,62.808618243551976,61.41925412622486
73,26,linear,0.05,64.16339530592386,63.49008201026138,62.15698344950452,61.33720483456781
74,26,linear,0.01,64.63543180697918,64.03021855936653,63.45905661234011,62.440460756411994
75,26,linear,0.005,63.488884114204836,63.40120389447744,61.63915492970865,61.0672584628434
76,26,linear,0.001,55.3505137700484,54.9452591605058,64.78613658703286,64.05962999529457
77,26,poly,1.0,66.20945134667154,64.66044519856179,64.26929051211366,62.3621058480514
78,26,poly,0.5,65.89484460509853,64.65923322425564,63.86451195583896,62.160852986070566
79,26,poly,0.1,61.98301335928515,61.152991556578996,42.56818801321118,40.78417472498505
80,26,poly,0.05,61.24103588175075,60.61366299034461,40.29191350534519,39.33473859348726
81,26,poly,0.01,51.528848219815224,51.34973538560982,67.32348724993162,67.23295721136914
82,26,poly,0.005,51.46138193399983,51.16995919686502,67.32260686169151,67.19169572996411
83,26,poly,0.001,50.87683421594773,50.90009291803014,67.05870284972761,67.07048360875197
84,25,rbf,1.0,69.06424337407262,67.53322829556015,69.05293726862539,67.3786923389829
85,25,rbf,0.5,68.0976226286321,66.81573950632246,67.66296808411771,66.11290532724435
86,25,rbf,0.1,65.28752164406416,64.11909667515047,65.65091285443877,64.23511694609407
87,25,rbf,0.05,65.08471834279142,64.11909667515049,66.05934989446118,64.87266326235412
88,25,rbf,0.01,60.45105597755336,58.8251929059104,57.398676198725894,55.353386751649495
89,25,rbf,0.005,59.03373314290769,57.92833191936331,52.909355828397544,52.11509935251926
90,25,rbf,0.001,59.03373314290769,57.92833191936331,52.909355828397544,52.11509935251926
91,25,sigmoid,1.0,60.634319586456186,59.61863208499979,60.40642515487485,59.40030714729809
92,25,sigmoid,0.5,60.36430277675965,60.51912899446531,58.73973007200466,59.14481701444003
93,25,sigmoid,0.1,64.07358349869187,63.488870035955244,63.174897014483896,62.3848179388643
94,25,sigmoid,0.05,63.084313898964886,62.770573263846806,61.47080248136013,60.59833947243393
95,25,sigmoid,0.01,57.777328395748285,58.28263240819294,41.573950181906554,42.812059141999015
96,25,sigmoid,0.005,55.9775533676268,56.937340928372315,37.30758613970977,39.96753375505805
97,25,sigmoid,0.001,55.9775533676268,56.937340928372315,37.30758613970977,39.96753375505805
98,25,linear,1.0,65.46734748044135,64.83981739587121,64.79826536412673,63.93627427030517
99,25,linear,0.5,65.08499639792215,64.7501312972165,64.08773986347447,63.53077340151925
100,25,linear,0.1,64.47805260297518,63.220215731426485,62.808618243551976,61.41925412622486
101,25,linear,0.05,64.16339530592386,63.49008201026138,62.15698344950452,61.33720483456781
102,25,linear,0.01,64.63543180697918,64.03021855936653,63.45905661234011,62.440460756411994
103,25,linear,0.005,63.488884114204836,63.40120389447744,61.63915492970865,61.0672584628434
104,25,linear,0.001,55.3505137700484,54.9452591605058,64.78613658703286,64.05962999529457
105,25,poly,1.0,66.20945134667154,64.66044519856179,64.26929051211366,62.3621058480514
106,25,poly,0.5,65.89484460509853,64.65923322425564,63.86451195583896,62.160852986070566
107,25,poly,0.1,61.98301335928515,61.152991556578996,42.56818801321118,40.78417472498505
108,25,poly,0.05,61.24103588175075,60.61366299034461,40.29191350534519,39.33473859348726
109,25,poly,0.01,51.528848219815224,51.34973538560982,67.32348724993162,67.23295721136914
110,25,poly,0.005,51.46138193399983,51.16995919686502,67.32260686169151,67.19169572996411
111,25,poly,0.001,50.87683421594773,50.90009291803014,67.05870284972761,67.07048360875197
112,24,rbf,1.0,69.06424337407262,67.53322829556015,69.05293726862539,67.3786923389829
113,24,rbf,0.5,68.0976226286321,66.81573950632246,67.66296808411771,66.11290532724435
114,24,rbf,0.1,65.28752164406416,64.11909667515047,65.65091285443877,64.23511694609407
115,24,rbf,0.05,65.08471834279142,64.11909667515049,66.05934989446118,64.87266326235412
116,24,rbf,0.01,60.45105597755336,58.8251929059104,57.398676198725894,55.353386751649495
117,24,rbf,0.005,59.03373314290769,57.92833191936331,52.909355828397544,52.11509935251926
118,24,rbf,0.001,59.03373314290769,57.92833191936331,52.909355828397544,52.11509935251926
119,24,sigmoid,1.0,60.634319586456186,59.61863208499979,60.40642515487485,59.40030714729809
120,24,sigmoid,0.5,60.36430277675965,60.51912899446531,58.73973007200466,59.14481701444003
121,24,sigmoid,0.1,64.07358349869187,63.488870035955244,63.174897014483896,62.3848179388643
122,24,sigmoid,0.05,63.084313898964886,62.770573263846806,61.47080248136013,60.59833947243393
123,24,sigmoid,0.01,57.777328395748285,58.28263240819294,41.573950181906554,42.812059141999015
124,24,sigmoid,0.005,55.9775533676268,56.937340928372315,37.30758613970977,39.96753375505805
125,24,sigmoid,0.001,55.9775533676268,56.937340928372315,37.30758613970977,39.96753375505805
126,24,linear,1.0,65.46734748044135,64.83981739587121,64.79826536412673,63.93627427030517
127,24,linear,0.5,65.08499639792215,64.7501312972165,64.08773986347447,63.53077340151925
128,24,linear,0.1,64.47805260297518,63.220215731426485,62.808618243551976,61.41925412622486
129,24,linear,0.05,64.16339530592386,63.49008201026138,62.15698344950452,61.33720483456781
130,24,linear,0.01,64.63543180697918,64.03021855936653,63.45905661234011,62.440460756411994
131,24,linear,0.005,63.488884114204836,63.40120389447744,61.63915492970865,61.0672584628434
132,24,linear,0.001,55.3505137700484,54.9452591605058,64.78613658703286,64.05962999529457
133,24,poly,1.0,66.20945134667154,64.66044519856179,64.26929051211366,62.3621058480514
134,24,poly,0.5,65.89484460509853,64.65923322425564,63.86451195583896,62.160852986070566
135,24,poly,0.1,61.98301335928515,61.152991556578996,42.56818801321118,40.78417472498505
136,24,poly,0.05,61.24103588175075,60.61366299034461,40.29191350534519,39.33473859348726
137,24,poly,0.01,51.528848219815224,51.34973538560982,67.32348724993162,67.23295721136914
138,24,poly,0.005,51.46138193399983,51.16995919686502,67.32260686169151,67.19169572996411
139,24,poly,0.001,50.87683421594773,50.90009291803014,67.05870284972761,67.07048360875197
140,23,rbf,1.0,69.06424337407262,67.53322829556015,69.05293726862539,67.3786923389829
141,23,rbf,0.5,68.0976226286321,66.81573950632246,67.66296808411771,66.11290532724435
142,23,rbf,0.1,65.28752164406416,64.11909667515047,65.65091285443877,64.23511694609407
143,23,rbf,0.05,65.08471834279142,64.11909667515049,66.05934989446118,64.87266326235412
144,23,rbf,0.01,60.45105597755336,58.8251929059104,57.398676198725894,55.353386751649495
145,23,rbf,0.005,59.03373314290769,57.92833191936331,52.909355828397544,52.11509935251926
146,23,rbf,0.001,59.03373314290769,57.92833191936331,52.909355828397544,52.11509935251926
147,23,sigmoid,1.0,60.634319586456186,59.61863208499979,60.40642515487485,59.40030714729809
148,23,sigmoid,0.5,60.36430277675965,60.51912899446531,58.73973007200466,59.14481701444003
149,23,sigmoid,0.1,64.07358349869187,63.488870035955244,63.174897014483896,62.3848179388643
150,23,sigmoid,0.05,63.084313898964886,62.770573263846806,61.47080248136013,60.59833947243393
