SIM,PCA_comp,Kernel,C,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
0,28,rbf,1.0,82.9200345346016,82.37958842684942,81.7318789135968,81.14419324466225
1,28,rbf,0.5,82.54079187160954,82.20466131314681,81.40723427792601,81.03704030646341
2,28,rbf,0.1,82.01578724643967,81.97108417301757,80.97333617461932,80.90358100449346
3,28,rbf,0.05,81.82614464979491,81.85446609721583,80.81116097656796,80.8047762986714
4,28,rbf,0.01,80.68836349794685,80.28012207389222,79.88039039529362,79.51282803631524
5,28,rbf,0.005,80.29443724973578,79.63872265698258,78.93548673891007,78.39623918822257
6,28,rbf,0.001,56.3557063963441,55.96525326922749,42.8323022856231,42.44033116355747
7,28,sigmoid,1.0,75.59795471799222,75.90455731164647,73.83895126197619,74.16094498652737
8,28,sigmoid,0.5,75.94803222945946,76.31306156547832,74.07996379070573,74.40646948062806
9,28,sigmoid,0.1,79.65280391618978,80.0463744395001,78.17535923816538,78.51293341177008
10,28,sigmoid,0.05,81.70940961567497,81.79615705931496,80.62242479466903,80.68077357096175
11,28,sigmoid,0.01,81.60727310617901,81.62157093413806,80.50116272520803,80.4918072446151
12,28,sigmoid,0.005,72.02312372276201,71.00932603617889,61.54738646256377,60.96993758300855
13,28,sigmoid,0.001,56.32655187739366,56.082212333554985,42.75381909249451,42.48780186523377
14,28,linear,1.0,82.4532751518863,82.43806795901317,81.34965764916396,81.30539806240297
15,28,linear,0.5,82.4532751518863,82.43806795901317,81.34965764916396,81.30539806240297
16,28,linear,0.1,82.32198412343993,82.20483180740968,81.2368157412107,81.10325974393679
17,28,linear,0.05,82.11775363474555,82.02990469370705,81.06102642115408,80.95211805323274
18,28,linear,0.01,82.05940206654715,81.97159565580618,81.01105472661514,80.90102534047077
19,28,linear,0.005,82.04481417449756,81.97159565580618,80.99845991238277,80.90102534047077
20,28,linear,0.001,81.50520039212934,81.50495285833632,80.32027455696961,80.28322358042584
21,28,poly,1.0,82.46785241136155,81.91260464085384,80.906952289,80.24807036357423
22,28,poly,0.5,81.92820673127018,81.56257991918572,80.06133642264068,79.6383067216016
23,28,poly,0.1,57.59917533753107,57.2930625884439,29.31888151632397,28.720887499742005
24,28,poly,0.05,57.29289339993577,56.94252638398718,27.84476537285972,27.113915647657016
25,28,poly,0.01,56.1697639355836,55.95093175114657,23.35784923303624,23.12754487045808
26,28,poly,0.005,55.84886220821558,55.54276848584044,22.040959029206856,21.53433952342382
27,28,poly,0.001,52.348267847307724,52.39237549656453,9.321642481914536,9.891590710854137
28,27,rbf,1.0,82.9200345346016,82.37958842684942,81.7318789135968,81.14419324466225
29,27,rbf,0.5,82.54079187160954,82.20466131314681,81.40723427792601,81.03704030646341
30,27,rbf,0.1,82.01578724643967,81.97108417301757,80.97333617461932,80.90358100449346
31,27,rbf,0.05,81.82614464979491,81.85446609721583,80.81116097656796,80.8047762986714
32,27,rbf,0.01,80.68836349794685,80.28012207389222,79.88039039529362,79.51282803631524
33,27,rbf,0.005,80.29443724973578,79.63872265698258,78.93548673891007,78.39623918822257
34,27,rbf,0.001,56.3557063963441,55.96525326922749,42.8323022856231,42.44033116355747
35,27,sigmoid,1.0,75.59795471799222,75.90455731164647,73.83895126197619,74.16094498652737
36,27,sigmoid,0.5,75.94803222945946,76.31306156547832,74.07996379070573,74.40646948062806
37,27,sigmoid,0.1,79.65280391618978,80.0463744395001,78.17535923816538,78.51293341177008
38,27,sigmoid,0.05,81.70940961567497,81.79615705931496,80.62242479466903,80.68077357096175
39,27,sigmoid,0.01,81.60727310617901,81.62157093413806,80.50116272520803,80.4918072446151
40,27,sigmoid,0.005,72.02312372276201,71.00932603617889,61.54738646256377,60.96993758300855
41,27,sigmoid,0.001,56.32655187739366,56.082212333554985,42.75381909249451,42.48780186523377
42,27,linear,1.0,82.4532751518863,82.43806795901317,81.34965764916396,81.30539806240297
